item_id,family,task,introduced_version,current_state,default_safe,commercial_safe,license_status,source,evidence_artifact,artifact_exists,has_registry,has_vsx_api,has_cli,has_explain,has_test,has_tutorial,tutorial_executed,has_docs,fresh_install_verified,product_grade_status,missing_work,exact_next_command
sam2.1-hiera-tiny,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2.1-hiera-tiny image.jpg --box 60,40,270,180 --out out/"
sam2.1-hiera-small,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2.1-hiera-small image.jpg --box 60,40,270,180 --out out/"
sam2.1-hiera-base-plus,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2.1-hiera-base-plus image.jpg --box 60,40,270,180 --out out/"
sam2.1-hiera-large,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2.1-hiera-large image.jpg --box 60,40,270,180 --out out/"
sam2.1-video-tiny,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam video sam2.1-video-tiny video.mp4 --box 60,40,270,180 --out out/"
sam2.1-video-small,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam video sam2.1-video-small video.mp4 --box 60,40,270,180 --out out/"
sam2.1-video-base-plus,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,video; same backend as video-small (HF cached),"visionservex sam video sam2.1-video-base-plus video.mp4 --box 60,40,270,180 --out out/"
sam2.1-video-large,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,video; same backend (HF cached),"visionservex sam video sam2.1-video-large video.mp4 --box 60,40,270,180 --out out/"
sam2.1-onnx-tiny,sam,promptable_segmentation,v3.2-3.7,blocked_documented,False,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/sam21_onnx_attempt.json,True,True,True,True,True,True,True,False,True,False,blocked_documented,SAM2 ONNX exporter not in transformers; isolated-env sidecar path,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke
sam2.1-onnx-small,sam,promptable_segmentation,v3.2-3.7,blocked_documented,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,blocked_documented,see sam2.1-onnx-tiny attempt blocker,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke
sam2.1-onnx-base-plus,sam,promptable_segmentation,v3.2-3.7,blocked_documented,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,blocked_documented,see sam2.1-onnx-tiny attempt blocker,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke
sam2.1-onnx-large,sam,promptable_segmentation,v3.2-3.7,blocked_documented,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,blocked_documented,see sam2.1-onnx-tiny attempt blocker,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke
medsam,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,wanglab/medsam via sam_hf (v3.5 executed),"visionservex sam run medsam image.jpg --box 60,40,270,180 --out out/"
medsam2,sam,promptable_segmentation,v3.2-3.7,sidecar_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,sidecar_required,MedSAM2 sidecar; missing preprocessor_config for HF load,visionservex sidecar create medsam2 --execute
hq-sam,sam,promptable_segmentation,v3.2-3.7,legal_review_required,False,False,Apache-2.0 code / HQSeg-44K NC data,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,legal_review_required,"ThinObject-5K CC-BY-NC, DIS5K NC",visionservex legal review hq-sam  # HQSeg-44K dataset NC review
hq-sam2,sam,promptable_segmentation,v3.2-3.7,legal_review_required,False,False,Apache-2.0 code / HQSeg-44K NC data,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,legal_review_required,alias of sam-hq2 (HQ-SAM-2),visionservex legal review hq-sam2  # HQSeg-44K dataset NC review
light-hq-sam,sam,promptable_segmentation,v3.2-3.7,legal_review_required,False,False,Apache-2.0 code / HQSeg-44K NC data,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,legal_review_required,TinyViT; HQSeg-44K inherited NC,visionservex legal review light-hq-sam  # HQSeg-44K dataset NC review
tinysam,sam,promptable_segmentation,v3.2-3.7,checkpoint_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,checkpoint_required,product_grade_candidate; SA-1B dataset provenance,visionservex pull tinysam  # BYOT Apache-2.0 checkpoint
q-tinysam,sam,promptable_segmentation,v3.2-3.7,checkpoint_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,checkpoint_required,W8A8 quantized TinySAM,visionservex pull q-tinysam  # BYOT Apache-2.0 checkpoint
edgesam,sam,promptable_segmentation,v3.2-3.7,excluded_restricted,False,False,NTU S-Lab License 1.0 (NON-COMMERCIAL),facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,excluded_restricted,native non-commercial license,# edgesam is non-commercial — excluded from commercial core; negotiate a separate license
sam3-base,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-base  # request gated access
sam3-image,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-image  # request gated access
sam3-video,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-video  # request gated access
sam3-text-prompt,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-text-prompt  # request gated access
sam3-visual-prompt,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-visual-prompt  # request gated access
sam3-exemplar-prompt,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-exemplar-prompt  # request gated access
sam3-open-vocabulary,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-open-vocabulary  # request gated access
sam3-tracking,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3-tracking  # request gated access
sam3.1-base,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-base  # request gated access
sam3.1-image,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-image  # request gated access
sam3.1-video,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-video  # request gated access
sam3.1-real-time-tracking,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-real-time-tracking  # request gated access
sam3.1-text-prompt,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-text-prompt  # request gated access
sam3.1-visual-prompt,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-visual-prompt  # request gated access
sam3.1-open-vocabulary,sam,promptable_segmentation,v3.2-3.7,auth_required,False,False,"SAM License (Meta custom, gated)",facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; custom non-Apache license; provenance unverified post-cutoff,export HF_TOKEN=... && visionservex sam status sam3.1-open-vocabulary  # request gated access
dinov2-vits14,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-small_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-vits14 image.jpg --out embedding.npy
dinov2-vitb14,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-base_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-vitb14 image.jpg --out embedding.npy
dinov2-vitl14,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-large_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-vitl14 image.jpg --out embedding.npy
dinov2-vitg14,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-giant_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-vitg14 image.jpg --out embedding.npy
dinov2-small,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-small_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-small image.jpg --out embedding.npy
dinov2-base,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-base_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-base image.jpg --out embedding.npy
dinov2-large,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-large_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-large image.jpg --out embedding.npy
dinov2-giant,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dinov2-giant_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dinov2-giant image.jpg --out embedding.npy
dino-vits8,dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/dino_vits8_embed.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino embed dino-vits8 image.jpg --out embedding.npy
grounding-dino-tiny,grounding-dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-tiny.json,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino detect grounding-dino-tiny image.jpg --text 'a person. a car.' --out boxes.json
grounding-dino-swin-t,grounding-dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-tiny.json,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino detect grounding-dino-swin-t image.jpg --text 'a person. a car.' --out boxes.json
grounding-dino-swin-b,grounding-dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-base.json,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino detect grounding-dino-swin-b image.jpg --text 'a person. a car.' --out boxes.json
grounding-dino-base,grounding-dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-base.json,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino detect grounding-dino-base image.jpg --text 'a person. a car.' --out boxes.json
grounding-dino-original-swin-t,grounding-dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-tiny.json,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino detect grounding-dino-original-swin-t image.jpg --text 'a person. a car.' --out boxes.json
grounding-dino-original-swin-b,grounding-dino,embed_or_detect,v3.1-3.7,benchmark_passed,True,True,Apache-2.0,facebook/IDEA-Research,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-base.json,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex dino detect grounding-dino-original-swin-b image.jpg --text 'a person. a car.' --out boxes.json
dinov3-vits16,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-vits16  # gated DINOv3 custom license
dinov3-vitb16,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-vitb16  # gated DINOv3 custom license
dinov3-vitl16,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-vitl16  # gated DINOv3 custom license
dinov3-vit7b16,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-vit7b16  # gated DINOv3 custom license
dinov3-convnext-tiny,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-convnext-tiny  # gated DINOv3 custom license
dinov3-convnext-small,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-convnext-small  # gated DINOv3 custom license
dinov3-convnext-base,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-convnext-base  # gated DINOv3 custom license
dinov3-convnext-large,dino,embed_or_detect,v3.1-3.7,auth_required,False,False,"DINOv3 License (Meta custom, gated)",facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,auth_required,gated HF; NOT Apache; attribution+acceptable-use+no-compete-training,export HF_TOKEN=... && visionservex dino status dinov3-convnext-large  # gated DINOv3 custom license
grounding-dino-1.5,grounding-dino,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api grounding-dino-1.5 image.jpg --text '...'
grounding-dino-1.6,grounding-dino,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api grounding-dino-1.6 image.jpg --text '...'
grounding-dino-1.5-pro,grounding-dino,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api grounding-dino-1.5-pro image.jpg --text '...'
grounding-dino-1.6-pro,grounding-dino,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api grounding-dino-1.6-pro image.jpg --text '...'
dino-x-api,dino-x,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api dino-x-api image.jpg --text '...'
dino-x-detection,dino-x,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api dino-x-detection image.jpg --text '...'
dino-x-segmentation,dino-x,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api dino-x-segmentation image.jpg --text '...'
dino-x-phrase-grounding,dino-x,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api dino-x-phrase-grounding image.jpg --text '...'
dino-x-counting,dino-x,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api dino-x-counting image.jpg --text '...'
dino-x-region-captioning,dino-x,embed_or_detect,v3.1-3.7,external_api_only,False,False,proprietary API (Apache SDK only),facebook/IDEA-Research,,False,True,True,True,True,True,True,False,True,False,external_api_only,cloud-only; no released weights; DINOX_API_KEY / DeepDataSpace ToS,export DINOX_API_KEY=... && visionservex dino api dino-x-region-captioning image.jpg --text '...'
clip-vit-base-patch32,clip,image_embedding,v3.7,benchmark_passed,True,True,Apache-2.0,openai/clip-vit-base-patch32,notebook/99_final_report/artifacts/v37/clip_vit_b32_embed.npy,True,True,True,False,True,True,True,False,True,False,product_grade_pass,,visionservex feature embed clip-vit-base-patch32 image.jpg
owlvit-base-patch32,owlvit,open_vocab_detect,v3.7,benchmark_passed,True,True,Apache-2.0,google/owlvit-base-patch32,notebook/99_final_report/artifacts/v37/owlvit_b32_detect.json,True,True,True,False,True,True,True,False,True,False,product_grade_pass,,# run via transformers (google/owlvit-base-patch32)
