item_id,family,official_source,license,commercial_safe,weights_available,recommended_state,training_data_risk,exact_next_command,notes
sam3-open-vocabulary,sam3,https://ai.meta.com/research/sam3/,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Open-vocabulary capability of SAM 3. DOUBT FLAG: custom SAM License; legal review required; unverified post-cutoff.
sam3-tracking,sam3,https://github.com/facebookresearch/sam3,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Multi-instance video tracking capability of SAM 3. DOUBT FLAG: custom SAM License; legal review required; unverified post-cutoff.
sam3.1-base,sam3.1,https://huggingface.co/facebook/sam3.1,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,"KEPT auth_required (gated HF facebook/sam3.1). DOUBT FLAG on commercial_safe='yes': inherits the custom non-Apache SAM License — legal review required. DATA-QUALITY FLAG: input dates SAM 3.1 to 2026-03-27, which is BEFORE the SAM 3 date (2026-06-05) it claims to supersede — chronologically impossible, so treat the entire SAM 3.x block as unverified/speculative relative to my Jan-2026 cutoff."
sam3.1-image,sam3.1,https://huggingface.co/facebook/sam3.1,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Image capability of SAM 3.1 (drop-in for SAM 3). DOUBT FLAG: custom SAM License + same date inconsistency / unverified provenance as sam3.1-base.
sam3.1-video,sam3.1,https://ai.meta.com/blog/segment-anything-model-3/,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Video capability (Object Multiplex). DOUBT FLAG: custom SAM License; date inconsistency / unverified provenance.
sam3.1-real-time-tracking,sam3.1,https://ai.meta.com/blog/segment-anything-model-3/,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Real-time multi-object tracking capability. DOUBT FLAG: custom SAM License; performance claims (32 FPS H100) and date unverified post-cutoff.
sam3.1-text-prompt,sam3.1,https://huggingface.co/facebook/sam3.1,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Text prompting capability. DOUBT FLAG: custom SAM License; unverified provenance.
sam3.1-visual-prompt,sam3.1,https://huggingface.co/facebook/sam3.1,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Visual prompting capability. DOUBT FLAG: custom SAM License; unverified provenance.
sam3.1-open-vocabulary,sam3.1,https://huggingface.co/facebook/sam3.1,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Open-vocabulary capability. DOUBT FLAG: custom SAM License; unverified provenance.
dinov3-vits16,dinov3,https://huggingface.co/facebook/dinov3-vits16-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,"KEPT auth_required (gated HF). ViT-S/16, 21M, LVD-1689M. DOUBT FLAG on commercial_safe='yes': DINOv3 is a CUSTOM Meta license (NOT Apache-2.0 like DINOv2). Commercial use is permitted but conditioned on 'Built with DINOv3' attribution, an acceptable-use policy, and restrictions on using outputs to train competing models; legal review recommended before redistribution of weights."
dinov3-vitb16,dinov3,https://huggingface.co/facebook/dinov3-vitb16-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,"KEPT auth_required. ViT-B/16, 86M. DOUBT FLAG: custom DINOv3 license (not Apache); attribution + acceptable-use + no-compete-training conditions; gated access."
dinov3-vitl16,dinov3,https://huggingface.co/facebook/dinov3-vitl16-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,"KEPT auth_required. ViT-L/16, 300M. DOUBT FLAG: custom DINOv3 license; redistribution requires license copy + attribution; gated."
dinov3-vit7b16,dinov3,https://huggingface.co/facebook/dinov3-vit7b16-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,"KEPT auth_required. ViT-7B/16, 6.8B. DOUBT FLAG: custom DINOv3 license; commercial permitted with attribution/acceptable-use; gated. Large footprint — confirm deployment feasibility separately."
dinov3-convnext-tiny,dinov3,https://huggingface.co/facebook/dinov3-convnext-tiny-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,KEPT auth_required. ConvNeXt-Tiny 29M (distilled from ViT-7B). DOUBT FLAG: custom DINOv3 license; attribution + acceptable-use; gated.
dinov3-convnext-small,dinov3,https://huggingface.co/facebook/dinov3-convnext-small-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,KEPT auth_required. ConvNeXt-Small 50M. DOUBT FLAG: custom DINOv3 license; attribution + acceptable-use; gated.
dinov3-convnext-base,dinov3,https://huggingface.co/facebook/dinov3-convnext-base-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,"KEPT auth_required. ConvNeXt-Base 119M. DOUBT FLAG: custom DINOv3 license (non-exclusive, royalty-free, non-transferable); redistribution requires license copy + attribution; gated."
dinov3-convnext-large,dinov3,https://huggingface.co/facebook/dinov3-convnext-large-pretrain-lvd1689m,DINOv3 License,yes,gated,auth_required,,,KEPT auth_required. ConvNeXt-Large 198M. DOUBT FLAG: custom DINOv3 license (distinct from DINOv2 Apache-2.0); attribution + acceptable-use; gated.
grounding-dino-1.5,grounding-dino,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"CHANGED state auth_required -> external_api_only (no released weights; cloud-only via DeepDataSpace, same delivery model as DINO-X). CHANGED commercial_safe yes -> unclear: the Apache-2.0 license covers only the client SDK; the deployed model is a paid hosted API governed by DeepDataSpace ToS, so commercial safety depends on that ToS, not Apache. Token via cloud.deepdataspace.com; paid quota."
grounding-dino-1.5-pro,grounding-dino,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"CHANGED state auth_required -> external_api_only for consistency with the DINO-X API suite (API-only, no weights). Most capable variant (54.3 AP COCO). Commercial use governed by API ToS; contact deepdataspace_dm@idea.edu.cn. No plan to release weights."
grounding-dino-1.6-pro,grounding-dino,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"CHANGED state auth_required -> external_api_only (API-only, no weights). SOTA variant (55.4 AP COCO). Commercial use governed by API ToS + paid quota; licensing via deepdataspace_dm@idea.edu.cn."
dino-x-detection,dino-x,https://github.com/IDEA-Research/DINO-X-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"KEPT external_api_only. Open-world detection (56.0 AP COCO zero-shot), cloud-only. Env var DINOX_API_KEY. Commercial use via paid quota + API ToS; weights not released."
dino-x-segmentation,dino-x,https://github.com/IDEA-Research/DINO-X-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"KEPT external_api_only. Mask generation for detected objects, cloud-only. Env var DINOX_API_KEY. Commercial via API ToS + paid quota."
dino-x-phrase-grounding,dino-x,https://github.com/IDEA-Research/DINO-X-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"KEPT external_api_only. Text grounding + visual prompts, cloud-only. Env var DINOX_API_KEY. Commercial via API ToS."
dino-x-counting,dino-x,https://github.com/IDEA-Research/DINO-X-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"KEPT external_api_only. Visual-prompt counting, cloud-only. Env var DINOX_API_KEY. Commercial via API ToS + paid quota."
dino-x-region-captioning,dino-x,https://github.com/IDEA-Research/DINO-X-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,"KEPT external_api_only. Dense region captioning, cloud-only. Env var DINOX_API_KEY. Commercial via API ToS."
dino-x-api,dino-x,https://github.com/IDEA-Research/DINO-X-API,Apache 2.0 (client SDK only; model weights proprietary),unclear,no,external_api_only,,,KEPT external_api_only. Meta-entry for the DINO-X suite (detection/seg/grounding/counting/captioning) via cloud.deepdataspace.com. Env var DINOX_API_KEY. Token at cloud.deepdataspace.com/en/request_api; paid quota; commercial partnerships via deepdataspace_dm@idea.edu.cn.
tinysam,efficient-sam,https://github.com/xinghaochen/TinySAM,Apache-2.0,yes,yes,product_grade_candidate,"SA-1B (1% subset) carries a research-only DATASET license; distilled from SAM-ViT-H. Weights released Apache-2.0 by the authors; the dataset-license-to-derived-weights question is unsettled but industry-accepted (Meta itself released SAM, trained on SA-1B, under Apache-2.0).",pip install huggingface_hub && huggingface-cli download xinghaochen/TinySAM,"KEPT product_grade_candidate. DOUBT FLAG on commercial_safe='yes': only residual concern is SA-1B research-only dataset provenance behind the distillation; this is a softer (dataset, not code) inherited concern that Meta/MIT/Huawei all treat as Apache-compatible, so retained as product-grade with provenance documented rather than downgraded."
q-tinysam,efficient-sam,https://github.com/xinghaochen/TinySAM,Apache-2.0,yes,yes,product_grade_candidate,Inherits TinySAM/SA-1B provenance; W8A8 quantized. Weights Apache-2.0.,pip install huggingface_hub && huggingface-cli download xinghaochen/Q-TinySAM,KEPT product_grade_candidate. W8A8 quantized TinySAM (HF xinghaochen/Q-TinySAM). Same DOUBT FLAG as tinysam: SA-1B dataset provenance; weights Apache-2.0; industry-accepted for commercial use.
hq-sam,sam-hq,https://github.com/SysCV/sam-hq,Apache-2.0,unclear,yes,legal_review_required,"HQSeg-44K includes ThinObject-5K (CC-BY-NC-4.0) and DIS5K (non-commercial ToU). Apache-2.0 code, but weights trained on these may inherit non-commercial restrictions.",,KEPT legal_review_required (inherited training-data class). Weights at syscv-community/sam-hq-vit-base and -vit-huge. Commercial redistribution ambiguous due to CC-BY-NC / non-commercial source datasets; legal review of dataset-to-weights inheritance required.
light-hq-sam,sam-hq,https://github.com/SysCV/sam-hq,Apache-2.0,unclear,yes,legal_review_required,"Same HQSeg-44K restrictions (ThinObject-5K CC-BY-NC, DIS5K non-commercial). TinyViT backbone.",,"KEPT legal_review_required. Light/Tiny HQ-SAM (TinyViT, ~41 FPS). Apache-2.0 code; same inherited HQSeg-44K dataset concern as hq-sam — legal review required before commercial use."
sam-hq2,sam-hq,https://github.com/SysCV/sam-hq,Apache-2.0,unclear,yes,legal_review_required,"HQ components on SAM 2; HQSeg-44K restrictions persist (ThinObject-5K CC-BY-NC, DIS5K non-commercial).",,"KEPT legal_review_required. CANONICAL id for the HQ-SAM-2 model (beta, in sam-hq/sam-hq2 subdir). Image + video zero-shot. NOTE: 'hq-sam2' is a duplicate alias of this entry — see that row. Same inherited HQSeg-44K dataset concern."
hq-sam2,sam-hq,https://github.com/SysCV/sam-hq,Apache-2.0,unclear,yes,legal_review_required,Identical to sam-hq2 (same model).,,"DUPLICATE RESOLVED: 'hq-sam2' is an ALIAS of 'sam-hq2' (same HQ-SAM-2 model). Decision kept identical (legal_review_required, commercial_safe=unclear) so no information is lost. RECOMMENDATION: the v3.7 matrix should use a single canonical id ('sam-hq2') and treat 'hq-sam2' as an alias to avoid double-counting."
edgesam,efficient-sam,https://github.com/chongzhou96/EdgeSAM,NTU S-Lab License 1.0,no,yes,excluded_restricted,License is non-commercial; the authors' own license blocks commercial deployment/redistribution. Dual-commercial path only via NTU/NTUitive negotiation.,,"KEPT excluded_restricted. Authors' native license (NTU S-Lab 1.0) is non-commercial — model itself, not an inherited dependency, is restricted. Exclude from commercial-safe core; commercial use requires a separate negotiated NTUitive license."
fastsam-s,fastsam,https://github.com/CASIA-LMC-Lab/FastSAM,Apache-2.0 (CASIA repo) — but YOLOv8-seg architecture / ultralytics AGPL-3.0 dependency,unclear,yes,legal_review_required,HIGH coupling: FastSAM is a YOLOv8-seg model and the CASIA repo depends on the ultralytics package (AGPL-3.0). Also trained on a 2% SA-1B subset (research-only dataset). CASIA's own-code Apache claim does not cure the AGPL runtime dependency.,git clone https://github.com/CASIA-LMC-Lab/FastSAM && cd FastSAM && pip install -r requirements.txt,CHANGED commercial_safe yes -> unclear and state product_grade_candidate -> legal_review_required. Rationale: it is internally inconsistent to ship FastSAM (a YOLOv8-seg model with an ultralytics AGPL-3.0 code dependency) as product-grade while yolov8-seg/yolo11-seg are excluded_restricted for exactly that AGPL. Inherited-dependency class -> legal review of the AGPL coupling (and SA-1B provenance) required before commercial use.
fastsam-x,fastsam,https://github.com/CASIA-LMC-Lab/FastSAM,Apache-2.0 (CASIA repo) — but YOLOv8-seg architecture / ultralytics AGPL-3.0 dependency,unclear,yes,legal_review_required,Same as fastsam-s (larger YOLOv8x-seg variant): ultralytics AGPL-3.0 dependency + 2% SA-1B subset.,git clone https://github.com/CASIA-LMC-Lab/FastSAM && cd FastSAM && pip install -r requirements.txt,"CHANGED commercial_safe yes -> unclear and state product_grade_candidate -> legal_review_required, same rationale as fastsam-s: AGPL-3.0 ultralytics coupling makes a product-grade label inconsistent with the excluded YOLOv8/YOLO11 seg entries. Legal review required."
yolov8-seg,ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,no,yes,excluded_restricted,AGPL-3.0 copyleft requires open-sourcing derivative works/weights for any networked commercial deployment. Commercial use needs Ultralytics Enterprise License.,,KEPT excluded_restricted. Ultralytics' own AGPL-3.0 license. Exclude from commercial-safe core unless an Enterprise License is purchased.
yolo11-seg,ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,no,yes,excluded_restricted,Same AGPL-3.0 copyleft as yolov8-seg; commercial use needs Ultralytics Enterprise License.,,KEPT excluded_restricted. YOLO11-seg under AGPL-3.0. Exclude unless Enterprise License obtained. (Anchor for the FastSAM consistency downgrade above.)
rfdetr-seg-nano,rf-detr,https://github.com/roboflow/rf-detr,Apache-2.0,yes,yes,product_grade_candidate,Low: Apache-2.0 weights; DINOv2 (Apache-2.0) backbone; COCO instance-seg training (standard CC-BY-4.0 annotations / Flickr-image caveat). Roboflow markets RF-DETR as a commercial-friendly YOLO alternative.,,"KEPT product_grade_candidate. RFDETRSegNano, Apache-2.0 seg checkpoint auto-downloaded from rfdetr>=1.4. Low residual doubt — verify you pull the Apache seg checkpoint (not any PML-1.0 detection-XL artifact)."
rfdetr-seg-small,rf-detr,https://github.com/roboflow/rf-detr,Apache-2.0,yes,yes,product_grade_candidate,"Low: Apache-2.0 weights, DINOv2 backbone, COCO training.",,"KEPT product_grade_candidate. RFDETRSegSmall, Apache-2.0, rfdetr>=1.4. Low residual doubt; confirm seg (not detection-XL/PML) checkpoint."
rfdetr-seg-medium,rf-detr,https://github.com/roboflow/rf-detr,Apache-2.0,yes,yes,product_grade_candidate,"Low: Apache-2.0 weights, DINOv2 backbone, COCO training.",,"KEPT product_grade_candidate. RFDETRSegMedium, Apache-2.0, rfdetr>=1.4. Low residual doubt; confirm seg checkpoint."
rfdetr-seg-large,rf-detr,https://github.com/roboflow/rf-detr,Apache-2.0,yes,yes,product_grade_candidate,"Low: Apache-2.0 weights, DINOv2 backbone, COCO training.",,"KEPT product_grade_candidate. RFDETRSegLarge, Apache-2.0, rfdetr>=1.4. Low residual doubt; confirm seg checkpoint."
rfdetr-seg-xl,rf-detr,https://github.com/roboflow/rf-detr,Apache-2.0,yes,yes,product_grade_candidate,"Low: Apache-2.0 weights, DINOv2 backbone, COCO training.",,KEPT product_grade_candidate. RFDETRSegXLarge. CRITICAL: the SEGMENTATION XL is Apache-2.0 and does NOT require rfdetr_plus (unlike detection-only RF-DETR-XL which is PML-1.0) — verify you are using the Apache seg checkpoint. Low residual doubt.
rfdetr-seg-2xl,rf-detr,https://github.com/roboflow/rf-detr,Apache-2.0,yes,yes,product_grade_candidate,"Low: Apache-2.0 weights, DINOv2 backbone, COCO training.",,KEPT product_grade_candidate. RFDETRSeg2XLarge. CRITICAL: segmentation 2XL is Apache-2.0 and does NOT require rfdetr_plus (unlike detection-only RF-DETR-2XL / PML-1.0) — verify the Apache seg checkpoint. Low residual doubt.
efficientvit-sam-l0,efficient-sam,https://github.com/mit-han-lab/efficientvit,Apache-2.0,yes,yes,product_grade_candidate,SA-1B (research-only DATASET license) + distillation from SAM-ViT-H. Weights released Apache-2.0 by MIT Han Lab; same unsettled-but-industry-accepted dataset-to-weights question as TinySAM.,git clone https://github.com/mit-han-lab/efficientvit && pip install -e . # then download from huggingface.co/mit-han-lab/efficientvit-sam,"KEPT product_grade_candidate. 34.8M params, 512x512. DOUBT FLAG on commercial_safe='yes': SA-1B research-only dataset provenance behind the distillation (same class as tinysam) — softer dataset (not code) concern; retained product-grade with provenance documented."
efficientvit-sam-l1,efficient-sam,https://github.com/mit-han-lab/efficientvit,Apache-2.0,yes,yes,product_grade_candidate,SA-1B research-only dataset + SAM-ViT-H distillation; Apache-2.0 weights.,huggingface-cli download mit-han-lab/efficientvit-sam efficientvit_sam_l1.pt --local-dir ./weights,"KEPT product_grade_candidate. 47.7M params. DOUBT FLAG: SA-1B dataset provenance (same as efficientvit-sam-l0); Apache-2.0 weights, industry-accepted for commercial use."
efficientvit-sam-l2,efficient-sam,https://github.com/mit-han-lab/efficientvit,Apache-2.0,yes,yes,product_grade_candidate,SA-1B research-only dataset + SAM-ViT-H distillation; Apache-2.0 weights.,wget https://huggingface.co/mit-han-lab/efficientvit-sam/resolve/main/efficientvit_sam_l2.pt,KEPT product_grade_candidate. 61.3M params (highest-accuracy L-series). DOUBT FLAG: SA-1B dataset provenance; Apache-2.0 weights.
locateanything-3b,vlm-grounding,https://huggingface.co/nvidia/LocateAnything-3B,NVIDIA License (Proprietary Non-Commercial),no,yes,excluded_restricted,"The released combined weights are explicitly non-commercial ('academic and non-profit research only; commercial use prohibited except by NVIDIA and affiliates'). Open components (Qwen2.5-3B Qwen Research License, MoonViT MIT) only matter for a full retrain-from-scratch, which is impractical for a 3B VLM.",huggingface-cli login && huggingface-cli download nvidia/LocateAnything-3B --local-dir ./locateanything # NOT for commercial use as-is,"CHANGED state legal_review_required -> excluded_restricted for consistency with edgesam: the model's OWN native license is non-commercial (not an inherited dependency), so the deployable artifact is hard-blocked. Exclude from commercial-safe core; the only commercial path is a separately negotiated NVIDIA license."
