model_id,task,final_state,evidence_artifact,file_exists,model_found_in_file,numeric_metric_found,metric_col,metric_value,nan_metric,task_metric_appropriate,verdict
libreyolo-dfine-l,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4727,False,True,OK
libreyolo-dfine-m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4601,False,True,OK
libreyolo-dfine-n,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
libreyolo-dfine-s,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
libreyolo-dfine-x,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.503,False,True,OK
libreyolo-rfdetr-l,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.0002,False,True,OK
libreyolo-rfdetr-l-seg,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.csv,True,True,True,mask_mAP50_95,0.0002,False,True,OK
libreyolo-rfdetr-m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.0001,False,True,OK
libreyolo-rfdetr-m-seg,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.csv,True,True,True,mask_mAP50_95,0.0002,False,True,OK
libreyolo-rfdetr-n,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.0005,False,True,OK
libreyolo-rfdetr-n-seg,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.csv,True,True,True,mask_mAP50_95,0.0003,False,True,OK
libreyolo-rfdetr-s,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.0005,False,True,OK
libreyolo-rfdetr-s-seg,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.csv,True,True,True,mask_mAP50_95,0.0008,False,True,OK
libreyolo-rtdetr-l,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4109,False,True,OK
libreyolo-rtdetr-r101,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4304,False,True,OK
libreyolo-rtdetr-r18,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3392,False,True,OK
libreyolo-rtdetr-r34,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3708,False,True,OK
libreyolo-rtdetr-r50,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4162,False,True,OK
libreyolo-rtdetr-r50m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3895,False,True,OK
libreyolo-rtdetr-x,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4278,False,True,OK
libreyolo-yolov9-c,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3519,False,True,OK
libreyolo-yolov9-m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3441,False,True,OK
libreyolo-yolov9-s,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.2926,False,True,OK
libreyolo-yolov9-t,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.2222,False,True,OK
libreyolo-yolox-l,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3735,False,True,OK
libreyolo-yolox-m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3542,False,True,OK
libreyolo-yolox-n,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
libreyolo-yolox-s,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
libreyolo-yolox-t,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.2024,False,True,OK
libreyolo-yolox-x,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.3915,False,True,OK
maxvit-tiny-tf-224,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.0,False,True,OK
medsam,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.4981,False,True,OK
mobilesam,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7409,False,True,OK
oneformer-swin-large,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.csv,True,True,True,mask_mAP50_95,0.1646,False,True,OK
owlv2-base-patch16,open_vocab_detect,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.0973,False,True,OK
owlv2-large-patch14,open_vocab_detect,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.0967,False,True,OK
owlvit-base-patch32,open_vocab_detect,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.051,False,True,OK
owlvit-large-patch14,open_vocab_detect,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.0881,False,True,OK
rfdetr-base,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
rfdetr-large,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
rfdetr-medium,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3373,False,True,OK
rfdetr-nano,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.2811,False,True,OK
rfdetr-seg-large,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.csv,True,True,True,mask_mAP50_95,0.1114,False,True,OK
rfdetr-seg-medium,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,True,True,True,json,,False,True,OK
rfdetr-seg-nano,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,True,True,True,json,,False,True,OK
rfdetr-seg-small,segment,benchmark_passed,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,True,True,True,json,,False,True,OK
rfdetr-small,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3239,False,True,OK
rtmpose-l,pose,benchmark_passed,notebook/_runs/20260520T110000Z_v253/reports/v253_rtmpose_coco_keypoints_benchmark.json,True,True,True,json,,False,True,OK
rtmpose-l-384x288,pose,benchmark_passed,notebook/_runs/20260520T130000Z_v254/reports/v254_rtmpose_cpu_new_configs_benchmark.json,True,True,True,json,,False,True,OK
rtmpose-m,pose,benchmark_passed,notebook/_runs/20260520T110000Z_v253/reports/v253_rtmpose_coco_keypoints_benchmark.json,True,True,True,json,,False,True,OK
rtmpose-m-384x288,pose,benchmark_passed,notebook/_runs/20260520T130000Z_v254/reports/v254_rtmpose_cpu_new_configs_benchmark.json,True,True,True,json,,False,True,OK
rtmpose-s,pose,benchmark_passed,notebook/_runs/20260520T110000Z_v253/reports/v253_rtmpose_coco_keypoints_benchmark.json,True,True,True,json,,False,True,OK
rtmpose-t,pose,benchmark_passed,notebook/_runs/20260521T170000Z_v256/reports/v256_rtmpose_t_benchmark.json,True,True,True,json,,False,True,OK
sam-vit-base,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7612,False,True,OK
sam-vit-huge,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7705,False,True,OK
sam-vit-large,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7707,False,True,OK
sam2-hiera-base-plus,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7753,False,True,OK
sam2-hiera-large,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7794,False,True,OK
sam2-hiera-small,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7491,False,True,OK
sam2-hiera-tiny,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.762,False,True,OK
sam2.1-hiera-base-plus,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7652,False,True,OK
sam2.1-hiera-large,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7815,False,True,OK
sam2.1-hiera-small,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7628,False,True,OK
sam2.1-hiera-tiny,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7554,False,True,OK
siglip-base-patch16-224,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.984,False,True,OK
siglip2-base-patch16-224,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.996,False,True,OK
siglip2-large-patch16-256,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.992,False,True,OK
siglip2-so400m-patch14-384,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.994,False,True,OK
swinv2-base,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.877,False,True,OK
swinv2-large,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.0,False,True,OK
swinv2-small,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.878,False,True,OK
swinv2-tiny,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.857,False,True,OK
