model_id,family,task,final_state,default_safe,license_status,has_code_license,has_weights_license,has_evidence_artifact,artifact_exists_on_disk,has_tutorial,tutorial_executed,has_cli,cli_help_works,python_api_works,category,counts_as_pass,counts_as_fail,counts_as_blocked,blocker_category,exact_next_command
deim-m,deim,detect,wired,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex models contract-run deim-m
deim-s,deim,detect,wired,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex models contract-run deim-s
deimv2-atto,deimv2,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run deimv2-atto tests/assets/smoke/coco_person_car.jpg --task auto
deimv2-femto,deimv2,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run deimv2-femto tests/assets/smoke/coco_person_car.jpg --task auto
deimv2-l,deimv2,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run deimv2-l tests/assets/smoke/coco_person_car.jpg --task auto
deimv2-m,deimv2,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run deimv2-m tests/assets/smoke/coco_person_car.jpg --task auto
deimv2-n,deimv2,detect,wired,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex models contract-run deimv2-n
deimv2-pico,deimv2,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run deimv2-pico tests/assets/smoke/coco_person_car.jpg --task auto
deimv2-s,deimv2,detect,benchmark_passed,False,Apache-2.0,True,True,True,True,False,False,True,True,True,EXCLUDED,False,False,False,none,visionservex run deimv2-s tests/assets/smoke/coco_person_car.jpg --task auto
deimv2-x,deimv2,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run deimv2-x tests/assets/smoke/coco_person_car.jpg --task auto
dfine-l,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-l tests/assets/smoke/coco_person_car.jpg --task auto
dfine-l-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-l-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-l-o365-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-l-o365-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-m,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-m tests/assets/smoke/coco_person_car.jpg --task auto
dfine-m-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-m-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-m-o365-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-m-o365-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-n,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-n tests/assets/smoke/coco_person_car.jpg --task auto
dfine-n-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-n-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-s,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-s tests/assets/smoke/coco_person_car.jpg --task auto
dfine-s-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-s-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-s-o365-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-s-o365-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-x,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-x tests/assets/smoke/coco_person_car.jpg --task auto
dfine-x-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-x-coco tests/assets/smoke/coco_person_car.jpg --task auto
dfine-x-o365-coco,dfine,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dfine-x-o365-coco tests/assets/smoke/coco_person_car.jpg --task auto
dino-x-api,dino-x,open_vocab_detect,external_api_only,False,Custom,True,True,False,False,True,True,True,True,True,EXCLUDED,False,False,False,external_api,visionservex run dino-x-api <input> --api-key $DEEPDATASPACE_API_KEY
dinov2-base,dinov2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run dinov2-base tests/assets/smoke/coco_person_car.jpg --task auto
dinov2-giant,dinov2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dinov2-giant tests/assets/smoke/coco_person_car.jpg --task auto
dinov2-large,dinov2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dinov2-large tests/assets/smoke/coco_person_car.jpg --task auto
dinov2-small,dinov2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run dinov2-small tests/assets/smoke/coco_person_car.jpg --task auto
dinov3-vitb16,dinov3,embed,wired,False,Apache-2.0,True,True,False,False,True,True,True,True,True,EXCLUDED,False,False,False,none,visionservex models contract-run dinov3-vitb16
efficientsam,efficientsam,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run efficientsam tests/assets/smoke/coco_person_car.jpg --task auto
florence-2-base,florence-2,vlm,demo_passed_sidecar,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run florence-2-base tests/assets/smoke/coco_person_car.jpg --task auto
florence-2-large,florence-2,vlm,demo_passed_sidecar,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run florence-2-large tests/assets/smoke/coco_person_car.jpg --task auto
grounding-dino-1.5,grounding_dino,open_vocab,auth_required,False,Apache-2.0,True,True,True,True,True,False,True,True,True,EXCLUDED,False,False,False,auth,visionservex run grounding-dino-1.5 <input> --use-auth-if-available
grounding-dino-1.5-pro,grounding-dino,open_vocab_detect,external_api_only,False,Custom,True,True,False,False,False,False,True,True,True,EXCLUDED,False,False,False,external_api,visionservex run grounding-dino-1.5-pro <input> --api-key $DEEPDATASPACE_API_KEY
grounding-dino-1.6,grounding_dino,open_vocab,auth_required,False,Apache-2.0,True,True,True,True,True,True,True,True,True,EXCLUDED,False,False,False,auth,visionservex run grounding-dino-1.6 <input> --use-auth-if-available
grounding-dino-1.6-pro,grounding-dino,open_vocab_detect,external_api_only,False,Custom,True,True,False,False,False,False,True,True,True,EXCLUDED,False,False,False,external_api,visionservex run grounding-dino-1.6-pro <input> --api-key $DEEPDATASPACE_API_KEY
grounding-dino-2-audit,grounding_dino,open_vocab,not_advertised,True,,True,True,False,False,False,False,False,True,True,OTHER_UNVERIFIED,False,False,False,registry,visionservex models status grounding-dino-2-audit
grounding-dino-original-swin-b,grounding_dino,open_vocab,benchmark_passed,True,,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run grounding-dino-original-swin-b tests/assets/smoke/coco_person_car.jpg --task auto
grounding-dino-original-swin-t,grounding_dino,open_vocab,benchmark_passed,True,,True,True,True,True,True,False,True,True,True,PASS,True,False,False,none,visionservex run grounding-dino-original-swin-t tests/assets/smoke/coco_person_car.jpg --task auto
grounding-dino-swin-b,grounding_dino,open_vocab,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run grounding-dino-swin-b tests/assets/smoke/coco_person_car.jpg --task auto
grounding-dino-swin-t,grounding_dino,open_vocab,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run grounding-dino-swin-t tests/assets/smoke/coco_person_car.jpg --task auto
grounding-dino-tiny,grounding_dino,open_vocab,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run grounding-dino-tiny tests/assets/smoke/coco_person_car.jpg --task auto
hq-sam,hq-sam,foundation_segment,benchmark_passed,False,Apache-2.0 (code/weights); HQSeg-44K training data partly non-commercial,True,True,True,True,True,True,True,True,True,EXCLUDED,False,False,False,none,visionservex run hq-sam tests/assets/smoke/coco_person_car.jpg --task auto
internimage-b,internimage,classify,sidecar_required,True,MIT,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare internimage-b --execute --runtime internimage_dcnv3_py310
internimage-h,internimage,classify,sidecar_required,True,MIT,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare internimage-h --execute --runtime internimage_dcnv3_py310
internimage-l,internimage,classify,sidecar_required,True,MIT,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare internimage-l --execute --runtime internimage_dcnv3_py310
internimage-s,internimage,classify,sidecar_required,True,MIT,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare internimage-s --execute --runtime internimage_dcnv3_py310
internimage-t,internimage,classify,sidecar_required,True,MIT,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare internimage-t --execute --runtime internimage_dcnv3_py310
libreyolo-dfine-l,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-dfine-l tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-dfine-l-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-dfine-l-seg
libreyolo-dfine-m,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-dfine-m tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-dfine-m-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-dfine-m-seg
libreyolo-dfine-n,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-dfine-n tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-dfine-n-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-dfine-n-seg
libreyolo-dfine-s,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-dfine-s tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-dfine-s-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-dfine-s-seg
libreyolo-dfine-x,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-dfine-x tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-dfine-x-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-dfine-x-seg
libreyolo-rfdetr-l,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-l tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-l-seg,libreyolo,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-l-seg tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-m,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-m tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-m-seg,libreyolo,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-m-seg tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-n,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-n tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-n-seg,libreyolo,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-n-seg tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-s,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-s tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rfdetr-s-seg,libreyolo,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rfdetr-s-seg tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-l,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-l tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-l-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-l-seg
libreyolo-rtdetr-r101,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-r101 tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-r101-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-r101-seg
libreyolo-rtdetr-r18,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-r18 tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-r18-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-r18-seg
libreyolo-rtdetr-r34,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-r34 tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-r34-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-r34-seg
libreyolo-rtdetr-r50,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-r50 tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-r50-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-r50-seg
libreyolo-rtdetr-r50m,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-r50m tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-r50m-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-r50m-seg
libreyolo-rtdetr-x,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-rtdetr-x tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-rtdetr-x-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-rtdetr-x-seg
libreyolo-yolov9-c,libreyolo,detect,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolov9-c tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolov9-m,libreyolo,detect,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolov9-m tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolov9-s,libreyolo,detect,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolov9-s tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolov9-t,libreyolo,detect,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolov9-t tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-l,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolox-l tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-l-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-yolox-l-seg
libreyolo-yolox-m,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolox-m tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-m-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-yolox-m-seg
libreyolo-yolox-n,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolox-n tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-n-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-yolox-n-seg
libreyolo-yolox-s,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolox-s tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-s-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-yolox-s-seg
libreyolo-yolox-t,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolox-t tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-t-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-yolox-t-seg
libreyolo-yolox-x,libreyolo,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run libreyolo-yolox-x tests/assets/smoke/coco_person_car.jpg --task auto
libreyolo-yolox-x-seg,libreyolo,segment,expected_blocker,True,,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,registry_cleanup,visionservex models status libreyolo-yolox-x-seg
maskdino-r50-coco,maskdino,segment,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare maskdino-r50-coco --execute --runtime maskdino_detectron2_py310
maskdino-r50-panoptic,maskdino,segment,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare maskdino-r50-panoptic --execute --runtime maskdino_detectron2_py310
maskdino-swinl-coco,maskdino,segment,sidecar_required,False,Apache-2.0,True,True,False,False,False,False,True,True,True,EXCLUDED,False,False,False,sidecar,visionservex runtime prepare maskdino-swinl-coco --execute --runtime maskdino_detectron2_py310
maxvit-tiny-tf-224,maxvit,classify,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run maxvit-tiny-tf-224 tests/assets/smoke/coco_person_car.jpg --task auto
medsam,medsam,foundation_segment,benchmark_passed,False,Apache-2.0,True,True,True,True,True,True,True,True,True,EXCLUDED,False,False,False,none,visionservex run medsam tests/assets/smoke/coco_person_car.jpg --task auto
medsam2,medsam2,foundation_segment,sidecar_required,False,Apache-2.0,True,True,False,False,True,True,True,True,True,EXCLUDED,False,False,False,sidecar,visionservex runtime prepare medsam2 --execute --runtime medical_medsam2_py310
mobilesam,mobilesam,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run mobilesam tests/assets/smoke/coco_person_car.jpg --task auto
nnunet-v2,nnunet,segment,dataset_required,True,Apache-2.0,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,dataset,visionservex dataset prepare-medical-seg-mini --source /home/arash/datasets/medical_segmentation --out /home/arash/datasets/medical_seg_mini_vsx
oneformer-convnext-large,oneformer,segment,wired,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex models contract-run oneformer-convnext-large
oneformer-dinat-large,oneformer,segment,sidecar_required,True,MIT,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,dependency,visionservex runtime prepare oneformer-dinat-large --execute --runtime oneformer_natten_py310
oneformer-swin-large,oneformer,segment,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run oneformer-swin-large tests/assets/smoke/coco_person_car.jpg --task auto
osnet-x1.0,osnet,reid,dataset_required,True,MIT,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,dataset,visionservex dataset prepare-market1501-mini --source /home/arash/datasets/Market-1501-v15.09.15 --query-per-id 2 --gallery-per-id 5 --out /home/arash/datasets/market1501_mini_vsx
owlv2-base-patch16,owlv2,open_vocab_detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run owlv2-base-patch16 tests/assets/smoke/coco_person_car.jpg --task auto
owlv2-large-patch14,owlv2,open_vocab_detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run owlv2-large-patch14 tests/assets/smoke/coco_person_car.jpg --task auto
owlvit-base-patch32,owlvit,open_vocab_detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run owlvit-base-patch32 tests/assets/smoke/coco_person_car.jpg --task auto
owlvit-large-patch14,owlvit,open_vocab_detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run owlvit-large-patch14 tests/assets/smoke/coco_person_car.jpg --task auto
prithvi-eo-2.0,prithvi,embed,wired,False,Apache-2.0,True,True,False,False,False,False,True,True,True,EXCLUDED,False,False,False,none,visionservex models contract-run prithvi-eo-2.0
rfdetr-base,rfdetr,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-base tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-large,rfdetr,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-large tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-medium,rfdetr,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-medium tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-nano,rfdetr,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-nano tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-seg-large,rfdetr,segment,benchmark_passed,False,PML 1.0 (Plus/XL/2XL); core sizes Apache-2.0,True,True,True,True,False,False,True,True,True,EXCLUDED,False,False,False,none,visionservex run rfdetr-seg-large tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-seg-medium,rfdetr,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-seg-medium tests/assets/smoke/coco_person_car.jpg --task auto
