model_id,target_name,family,code_license,weights_license,commercial_use_allowed,redistribution_allowed,gated_or_auth_required,core_allowed,confidence,exists_in_ledger,ledger_model_id,ledger_final_state,ledger_location,provenance,notes
grounding-dino-swin-b,grounding-dino-swin-b,grounding-dino,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,grounding-dino-swin-b,benchmark_passed,core_ledger,"GitHub IDEA-Research/GroundingDINO LICENSE = Apache-2.0; HF IDEA-Research/grounding-dino-base (Swin-B) tagged apache-2.0, public/ungated (web search + HF).",Open-vocab detector. Code + weights both Apache-2.0 and ungated. Swin-B (cogcoor) was pretrained on a research dataset mix (COCO/Objects365/GoldG/Cap4M/OpenImages/RefCOCO); IDEA nonetheless released the weights under Apache-2.0 and the model is broadly used commercially. Mirroring/bundling permitted.
grounding-dino-swin-t,grounding-dino-swin-t,grounding-dino,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,grounding-dino-swin-t,benchmark_passed,core_ledger,"GitHub IDEA-Research/GroundingDINO LICENSE = Apache-2.0; HF IDEA-Research/grounding-dino-tiny (Swin-T OGC) tagged apache-2.0, ungated.","Swin-T 'OGC' checkpoint (groundingdino_swint_ogc). Apache-2.0 code + weights, ungated. Pretrained on Objects365/GoldG/Cap4M; released Apache-2.0 by IDEA. Commercial use and redistribution OK."
grounding-dino-tiny,grounding-dino-tiny,grounding-dino,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,grounding-dino-tiny,benchmark_passed,core_ledger,"HF transformers checkpoint IDEA-Research/grounding-dino-tiny tagged apache-2.0, public/ungated; GitHub LICENSE Apache-2.0.","Alias of the HF transformers Swin-T checkpoint (same as grounding-dino-swin-t). Apache-2.0, ungated, freely redistributable. Commercial-safe."
rfdetr-seg-large,rfdetr-seg-large,rfdetr,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,rfdetr-seg-large,benchmark_passed,core_ledger,"HF API Roboflow/rf-detr-seg-large returns license=apache-2.0, gated=false, private=false; Roboflow blog: core sizes Nano..Large are Apache-2.0.","Verified Apache-2.0 + ungated via HF API. IMPORTANT distinction: for DETECTION, sizes Nano..Large are Apache but XL/2XL (rfdetr[plus], DINOv3) are PML-1.0; the SEGMENTATION 'large' checkpoint is plain Apache-2.0. Commercial-safe, redistributable."
rfdetr-seg-medium,rfdetr-seg-medium,rfdetr,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,rfdetr-seg-medium,benchmark_passed,core_ledger,"HF API Roboflow/rf-detr-seg-medium returns license=apache-2.0, gated=false, private=false; model page confirms apache-2.0.",Verified Apache-2.0 + ungated. COCO-pretrained. Commercial-safe and redistributable.
rfdetr-seg-nano,rfdetr-seg-nano,rfdetr,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,rfdetr-seg-nano,benchmark_passed,core_ledger,"HF API Roboflow/rf-detr-seg-nano returns license=apache-2.0, gated=false, private=false; rfdetr core package Apache-2.0; Roboflow blog 'RF-DETR Segmentation Nano..2XLarge — all Apache 2.0'.",Verified Apache-2.0 + ungated via HF API. Trained/fine-tuned on COCO (standard COCO image-license caveat applies but weights released Apache-2.0). Smaller seg tier — fully commercial-safe and redistributable.
rfdetr-seg-small,rfdetr-seg-small,rfdetr,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,rfdetr-seg-small,benchmark_passed,core_ledger,"HF API Roboflow/rf-detr-seg-small returns license=apache-2.0, gated=false, private=false; rfdetr core Apache-2.0.","Verified Apache-2.0 + ungated via HF API. COCO-pretrained. Commercial use, mirroring and fine-tuning all permitted."
rfdetr-seg-xlarge,rfdetr-seg-xlarge,rfdetr,Apache-2.0,Apache-2.0,yes,yes,no,yes,medium,True,rfdetr-seg-xlarge,external_restricted_baseline,external_restricted_baselines,"HF model page AND HF API Roboflow/rf-detr-seg-xlarge both return license=apache-2.0, gated=false, private=false; Roboflow blog: 'all RF-DETR-Seg checkpoints (Nano..2XLarge) Apache 2.0'.","Task brief assumed XL=PML-1.0, but that applies to the DETECTION rf-detr_plus models (RF-DETR-XL/2XL, DINOv3 backbone, account-gated PML-1.0 — see github.com/roboflow/rf-detr_plus). The SEGMENTATION xlarge checkpoint is released Apache-2.0 and ungated per HF metadata. Confidence kept medium because the larger seg tiers may share a DINOv3-derived backbone — confirm backbone sublicense before redistribution; current HF metadata supports Apache-2.0 + commercial use."
sam-vit-base,sam-vit-b,sam,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam-vit-base,benchmark_passed,core_ledger,facebookresearch/segment-anything repo LICENSE (Apache-2.0); HF facebook/sam-vit-base card; web-verified 2026-06,"SAM 1 (Meta, Apr 2023). Code+weights both Apache-2.0; openly downloadable, not gated. Trained on SA-1B which is a research-only dataset, but Meta released the trained checkpoints under Apache-2.0 -> commercial use permitted. ViT-B backbone."
sam-vit-huge,sam-vit-h,sam,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam-vit-huge,benchmark_passed,core_ledger,facebookresearch/segment-anything repo LICENSE (Apache-2.0); HF facebook/sam-vit-huge card; web-verified 2026-06,"SAM 1 ViT-H (largest, sam_vit_h_4b8939.pth). Apache-2.0 code+weights, ungated, commercial OK. Research-only SA-1B dataset does not restrict the Apache-2.0 weights."
sam-vit-large,sam-vit-l,sam,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam-vit-large,benchmark_passed,core_ledger,facebookresearch/segment-anything repo LICENSE (Apache-2.0); HF facebook/sam-vit-large card; web-verified 2026-06,"SAM 1 ViT-L. Same licensing as sam-vit-b: Apache-2.0 code+weights, ungated, commercial OK. SA-1B training data is research-only but the released weights are Apache-2.0."
efficientsam,efficientsam,sam-light,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,efficientsam,benchmark_passed,core_ledger,GitHub yformer/EfficientSAM LICENSE fetched = Apache-2.0 (verbatim Apache 2.0 text); HF checkpoints apache-2.0. Web-verified 2026-06.,"Meta (Yunyang Xiong et al.). Repo LICENSE confirmed Apache-2.0; vit-tiny / vit-small checkpoints released Apache-2.0, not gated. SAMI pretraining leveraged ImageNet (MAE) + SA-1B (research dataset), but Meta released weights under Apache-2.0. Commercial-safe."
mobilesam,mobilesam,sam-light,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,mobilesam,benchmark_passed,core_ledger,GitHub ChaoningZhang/MobileSAM LICENSE = Apache-2.0; pip 'mobile-sam'; VisionServeX manifest concurs (Apache-2.0). Knowledge + repo cross-check.,"MobileSAM = TinyViT image encoder distilled from SAM + original SAM mask decoder. Both code and released checkpoint are Apache-2.0, openly downloadable from GitHub releases (not gated). Encoder distilled on a ~1% SA-1B subset; SA-1B itself is a research-license dataset, but Meta/authors released the resulting weights under Apache-2.0 (same posture as Meta SAM) and it is widely used commercially. Commercial-safe."
q-tinysam,q-tinysam,sam-light,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,False,,,absent,"HF xinghaochen/Q-TinySAM fetched = apache-2.0, not gated; same xinghaochen/TinySAM repo (Apache-2.0). Web-verified 2026-06.",Post-training-quantized (INT8) variant of TinySAM. HF 'xinghaochen/Q-TinySAM' card states apache-2.0 and is NOT gated; same Apache-2.0 repo. The quantized checkpoints carry no extra restriction beyond Apache-2.0. Commercial-safe.
tinysam,tinysam,sam-light,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,False,,,absent,"GitHub xinghaochen/TinySAM (AAAI 2025) repo LICENSE = Apache-2.0; HF xinghaochen/tinysam tagged apache-2.0, not gated. Web-verified 2026-06.","Huawei Noah's Ark Lab. REPO LICENSE = Apache-2.0. Distilled checkpoints: HF 'xinghaochen/tinysam' is tagged apache-2.0 and is NOT access-gated; the distilled checkpoints carry NO additional restriction beyond Apache-2.0. Full-stage knowledge distillation from SAM on an SA-1B subset (SA-1B is a research-license source, but the released TinySAM weights are Apache-2.0, same posture as SAM/MobileSAM). Commercial-safe."
sam2-hiera-base-plus,sam2-hiera-base-plus,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2-hiera-base-plus,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2-hiera-base-plus card; web-verified 2026-06,"SAM 2 Hiera-B+ (base-plus). Apache-2.0 code+weights, ungated, commercial OK. Same SAM 2 licensing as the other sizes."
sam2-hiera-large,sam2-hiera-large,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2-hiera-large,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2-hiera-large card (apache-2.0); web-verified 2026-06,"SAM 2 Hiera-L (largest). HF model card explicitly apache-2.0. Code+weights Apache-2.0, ungated, commercial OK. Eval code BSD-3 only."
sam2-hiera-small,sam2-hiera-small,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2-hiera-small,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2-hiera-small card; web-verified 2026-06,"SAM 2 Hiera-S. Apache-2.0 code+weights, ungated, commercial OK. Eval code BSD-3 only; SA-V dataset research-only does not encumber the Apache-2.0 weights."
sam2-hiera-tiny,sam2-hiera-tiny,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2-hiera-tiny,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2-hiera-tiny card; web-verified 2026-06,"SAM 2 (Meta, Jul 2024). Checkpoints, demo code and training code are Apache-2.0. NOT a separate 'SAM 2 License' and not Llama-style; only the eval code is BSD-3. SA-V video training data is research/CC BY 4.0 but weights are Apache-2.0 -> commercial OK. Ungated. Hiera-T backbone."
sam2.1-hiera-base-plus,sam2.1-hiera-base-plus,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2.1-hiera-base-plus,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2.1-hiera-base-plus card; web-verified 2026-06,"SAM 2.1 Hiera-B+ (base-plus). Apache-2.0 code+weights, ungated, commercial OK."
sam2.1-hiera-large,sam2.1-hiera-large,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2.1-hiera-large,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2.1-hiera-large card (apache-2.0 confirmed); web-verified 2026-06,"SAM 2.1 Hiera-L (largest, best quality). HF card explicitly apache-2.0. Code+weights Apache-2.0, ungated, commercial OK. Also offered commercially via AWS SageMaker JumpStart, confirming commercial intent. Eval code BSD-3 only."
sam2.1-hiera-small,sam2.1-hiera-small,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2.1-hiera-small,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2.1-hiera-small card; web-verified 2026-06,"SAM 2.1 Hiera-S. Apache-2.0 code+weights, ungated, commercial OK. Same SAM 2.1 licensing as the other sizes."
sam2.1-hiera-tiny,sam2.1-hiera-tiny,sam2,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,sam2.1-hiera-tiny,benchmark_passed,core_ledger,facebookresearch/sam2 repo LICENSE (Apache-2.0); HF facebook/sam2.1-hiera-tiny card; web-verified 2026-06,"SAM 2.1 (improved Meta checkpoints, late 2024) served from the same facebookresearch/sam2 repo. Checkpoints + training code Apache-2.0, ungated, commercial OK. No separate license for 2.1 weights vs 2.0. Hiera-T."
dino-x-api,dino-x-api,dino-x,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,high,True,dino-x-api,external_api_only,core_ledger,"Verified web: github.com/IDEA-Research/DINO-X-API README (API-only, apply-token; model weights not downloadable)","Access mechanism = API key (DeepDataSpace cloud): DINO-X is API-only; the README confirms weights are NOT available for direct download. Apply for an API token at cloud.deepdataspace.com/apply-token (free starter quota, then paid via dashboard/WeChat Pay). Terms name = DeepDataSpace / IDEA Research API ToS. CODE-vs-WEIGHTS landmine: the Apache-2.0 license covers ONLY the DINO-X-API client repo, not the model; the DINO-X checkpoint is closed/proprietary and served remotely. Commercial use is gated behind paid API quota + provider ToS -> 'conditional'. No downloadable weights -> redistribution 'no'; BYOT (bring-your-own API token)."
fastsam-s,fastsam-s,fastsam,AGPL-3.0,AGPL-3.0,no,no,no,external_baseline_only,high,True,fastsam-s,external_restricted_baseline,external_restricted_baselines,"github.com/CASIA-IVA-Lab/FastSAM (LICENSE = AGPL-3.0); FastSAM-s.pt published under same repo/AGPL. Verified via web search 2026-06 + project docs/license_risk_table.md ('FastSAM (-s/-x) AGPL-3.0, excluded from permissive core').","Fast Segment Anything (CASIA-IVA-Lab), built on Ultralytics YOLOv8 backbone -> AGPL-3.0 contaminates both code and weights. No commercial license offered. Copyleft poison-pill: bundling weights would force AGPL on whole package, so do not mirror. Project already flags DO_NOT_ADD. Keep external baseline only."
fastsam-x,fastsam-x,fastsam,AGPL-3.0,AGPL-3.0,no,no,no,external_baseline_only,high,True,fastsam-x,external_restricted_baseline,external_restricted_baselines,github.com/CASIA-IVA-Lab/FastSAM (LICENSE = AGPL-3.0); FastSAM-x.pt published under same repo/AGPL. Verified via web search 2026-06 + docs/license_risk_table.md and docs/audit/visionservex_expected_blockers.md (DO_NOT_ADD).,"Larger FastSAM variant, same AGPL-3.0 code+weights as fastsam-s. AGPL copyleft, no commercial offering. Excluded from permissive/commercial-safe core; external baseline only."
grounding-dino-1.5,grounding-dino-1.5,grounding-dino,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,medium,True,grounding-dino-1.5,auth_required,core_ledger,"Verified web: github.com/IDEA-Research/Grounding-DINO-1.5-API README (DeepDataSpace API, apply-token)","Access mechanism = API key (DeepDataSpace cloud): apply for API token at cloud.deepdataspace.com/apply-token, paid quota via the dashboard (WeChat Pay). Terms name = DeepDataSpace / IDEA Research API Terms of Service. CODE-vs-WEIGHTS landmine: only the thin Python API-client wrapper is Apache-2.0; the actual model weights are NOT released for download (served remotely). Commercial use is gated behind paid API quota and provider ToS -> 'conditional'. No downloadable weights to mirror -> redistribution 'no', BYOT (bring-your-own API token). Confidence medium: the bare '1.5' name overlaps the Edge/Pro split; the flagship 1.5 Pro is API-only/closed while the original open Grounding DINO (ECCV2024) is a separate Apache-2.0 model."
grounding-dino-1.5-pro,grounding-dino-1.5-pro,grounding-dino,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,high,True,grounding-dino-1.5-pro,external_api_only,core_ledger,Verified web: github.com/IDEA-Research/Grounding-DINO-1.5-API README ('1.5 Pro only accessible via API'),"Access mechanism = API key (DeepDataSpace cloud): README explicitly states the Pro model is 'only accessible via API', not downloadable. Apply token at cloud.deepdataspace.com/apply-token; paid quota via dashboard. Terms name = DeepDataSpace / IDEA Research API ToS. CODE-vs-WEIGHTS: Apache-2.0 applies ONLY to the client wrapper; the Pro checkpoint is closed/proprietary and never published. Commercial use is metered/paid under provider ToS -> 'conditional'. No weights to mirror -> redistribution 'no'; BYOT (bring-your-own API token)."
grounding-dino-1.6,grounding-dino-1.6,grounding-dino,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,medium,True,grounding-dino-1.6,auth_required,core_ledger,"Verified web: github.com/IDEA-Research/Grounding-DINO-1.5-API README (1.5/1.6 series hosted on DeepDataSpace, apply-token)","Access mechanism = API key (DeepDataSpace cloud), same apply-token flow and paid quota as 1.5. Terms name = DeepDataSpace / IDEA Research API ToS. Weights not released; only Apache-2.0 client code exists. Commercial use only via paid API under provider ToS -> 'conditional'; nothing downloadable to redistribute -> 'no', BYOT API token. Confidence medium due to bare '1.6' naming (Pro vs Edge); the flagship 1.6 Pro is API-only/closed."
grounding-dino-1.6-pro,grounding-dino-1.6-pro,grounding-dino,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,high,True,grounding-dino-1.6-pro,external_api_only,core_ledger,Verified web: github.com/IDEA-Research/Grounding-DINO-1.5-API README ('1.5 and 1.6 Pro only accessible via API'); SOTA 55.4 AP COCO / 57.7 LVIS-minival,"Access mechanism = API key (DeepDataSpace cloud): flagship 1.6 Pro is API-only/closed, not downloadable. Apply token at cloud.deepdataspace.com/apply-token; paid quota (WeChat Pay). Terms name = DeepDataSpace / IDEA Research API ToS. Only the Apache-2.0 client wrapper is open; the Pro weights are proprietary and never released. Commercial use is metered/paid under provider ToS -> 'conditional'; nothing to mirror -> redistribution 'no'; BYOT API token."
clickseg (ClickSEG),clickseg (ClickSEG),interactive-seg,MIT,Unspecified for checkpoints; mixed backbones (HRNet permissive; SegFormer/MiT non-commercial),conditional,unknown,no,legal_review_required,medium,False,,,absent,"XavierCHEN34/ClickSEG — MIT code base (framework follows RITM) bundling CDNet (ICCV 2021) and FocalClick (CVPR 2022). Checkpoints publicly downloadable (Google Drive), not gated. Trained on COCO+LVIS (+ SBD configs).",Toolbox/codebase rather than a single model. Code MIT (confirmed). Same dual weight concern as FocalClick: COCO+LVIS/SBD training-data terms plus the SegFormer/MiT backbone NVIDIA non-commercial license on the transformer variants; CDNet/HRNet variants are backbone-clean but still inherit dataset provenance. Per-checkpoint review required before commercial use/redistribution.
focalclick (FocalClick),focalclick (FocalClick),interactive-seg,MIT,Unspecified for checkpoints; best variants use SegFormer/MiT backbone under NVIDIA non-commercial source-code license,conditional,unknown,no,legal_review_required,medium,False,,,absent,"FocalClick (Xi Chen et al., CVPR 2022), distributed within XavierCHEN34/ClickSEG (MIT, framework derived from RITM). Checkpoints publicly downloadable (Google Drive), not gated. Trained on COCO+LVIS / SBD. Strongest models use SegFormer MiT-B0/B3 encoders.","Code MIT. Two weight landmines: (1) training data COCO+LVIS/SBD provenance (Flickr-terms images); (2) the high-accuracy SegFormer/MiT backbone is ImageNet-pretrained under NVIDIA's non-commercial research license, so those checkpoints likely carry an NC restriction — HRNet-18 variants avoid this. Downloadable, not user-supplied-only. Treat SegFormer-backbone checkpoints as non-commercial until cleared; HRNet variants need only dataset review."
ritm (ritm_interactive_segmentation),ritm (ritm_interactive_segmentation),interactive-seg,MIT,Unspecified (no explicit checkpoint license); checkpoints trained on SBD and COCO+LVIS,conditional,unknown,no,legal_review_required,medium,False,,,absent,"SamsungLabs/ritm_interactive_segmentation. Code MIT (confirmed). Checkpoints publicly downloadable (Google Drive / weights folder), NOT HF-gated, no API key. Backbones HRNet/ResNet (ImageNet-pretrained). Trained on SBD and COCO+LVIS.","Code is clean MIT. Commercial risk is on the WEIGHTS, not code: checkpoints trained on COCO+LVIS (images under Flickr terms; annotations CC BY 4.0) and SBD (derived from PASCAL VOC, Flickr-sourced) — no explicit commercial grant on the resulting weights. Checkpoints are downloadable (not user-supplied-only), but bundling/mirroring them commercially needs review. Recommend BYOT or legal sign-off before commercial redistribution."
simpleclick (SimpleClick),simpleclick (SimpleClick),interactive-seg,MIT,Effectively non-commercial: checkpoints initialized from Facebook MAE ViT weights (CC BY-NC 4.0),no,no,no,external_baseline_only,high,False,,,absent,uncbiag/SimpleClick (ICCV 2023). Code MIT (confirmed). README requires downloading Facebook MAE-pretrained ViT-B/L/H weights as backbone init; trained checkpoints downloadable from Google Drive (not gated). Trained on COCO+LVIS.,"Decisive landmine: MAE pretrained ViT backbones (facebookresearch/mae) are CC BY-NC 4.0 (non-commercial) — confirmed. SimpleClick checkpoints are derivatives of those NC weights, so the published weights are non-commercial regardless of the MIT code, and also carry COCO+LVIS dataset terms. Per rule 5, non-commercial => external_baseline_only. Do NOT bundle/redistribute weights commercially; use only as an external/research baseline."
rfdetr-seg-2xlarge,rfdetr-seg-2xlarge,rfdetr,Apache-2.0,unknown (blog claims Apache-2.0; HF repo returns HTTP 401 / auth-restricted — unverifiable),conditional,unknown,yes,legal_review_required,low,True,rfdetr-seg-2xlarge,external_restricted_baseline,external_restricted_baselines,"HF Roboflow/rf-detr-seg-2xlarge model page AND api/models endpoint consistently return HTTP 401 Unauthorized (cannot read license/gated metadata). Roboflow blog 'Nano..2XLarge all Apache 2.0' conflicts with the 401; detection-2XL is PML-1.0 (DINOv3, Roboflow account).","Could NOT verify: the 2xlarge seg repo returns a consistent 401 (appears private/auth-restricted or not yet publicly released at audit time), which contradicts the blog's blanket Apache-2.0 claim and parallels the PML-1.0 detection-2XL (DINOv3, account-gated). Per commercial-safe policy this is unresolved -> legal review before any bundling. If confirmed publicly Apache + ungated, upgrade to core_allowed=yes/commercial=yes; if confirmed gated, treat as gated_byot_only with redistribution_allowed=no."
edgesam,edgesam,sam-light,NTU S-Lab License 1.0 (NON-COMMERCIAL / research-only),NTU S-Lab License 1.0 (NON-COMMERCIAL / research-only),no,no,no,external_baseline_only,high,True,edgesam,external_restricted_baseline,external_restricted_baselines,GitHub chongzhou96/EdgeSAM LICENSE fetched = S-Lab License 1.0; clause: 'Redistribution and use for non-commercial purpose ... permitted ... for commercial purpose ... please contact the contributor(s)'. Web-verified 2026-06.,"PRIMARY LANDMINE. EdgeSAM (S-Lab, NTU; chongzhou96) is licensed under NTU S-Lab License 1.0, which is NON-COMMERCIAL / research-only: it permits redistribution and use ONLY for non-commercial purposes and requires contacting the authors for any commercial use. This applies to BOTH the code and the edge_sam / edge_sam_3x checkpoints. It is NOT Apache-2.0. For a commercial-safe package: treat as external baseline only; do NOT bundle/mirror the weights for commercial distribution. ACTION: VisionServeX src/visionservex/model_zoo/manifest.py currently states 'EdgeSAM is Apache-2.0.' — this is INCORRECT and must be corrected to S-Lab License 1.0 (non-commercial)."
hq-sam,hq-sam,sam-light,Apache-2.0,Apache-2.0 (declared) but trained on NON-COMMERCIAL data (HQSeg-44K),conditional,yes,no,legal_review_required,medium,True,hq-sam,benchmark_passed,core_ledger,GitHub SysCV/sam-hq LICENSE = Apache-2.0; HQSeg-44K composition + DIS5K Terms-of-Use (non-commercial) and ThinObject-5K (CC-BY-NC-4.0) web-verified 2026-06.,"LANDMINE (training data). Code Apache-2.0 and base SAM Apache-2.0. The HQ-output-token weights are fine-tuned on HQSeg-44K, which aggregates explicitly NON-COMMERCIAL datasets: DIS5K (research/educational-only ToU), ThinObject-5K (CC-BY-NC-4.0), plus academic saliency sets (ECSSD, MSRA-10K, DUT-OMRON). Weights are mirrorable (Apache-declared, open, not gated) but COMMERCIAL USE of the trained HQ weights is encumbered by the non-commercial training data => legal review before commercial deployment."
