model_id,family,code_license,weights_license,dataset_risk,gated,local_token_required,user_license_required,can_auto_download,can_ship_weights,default_safe,commercial_safe,production_allowed,is_local,final_policy,hf_repo,warning_text,exact_next_command,notes
dinov2-large,dinov2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/dinov2-large,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull dinov2-large,
dinov2-giant,dinov2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/dinov2-giant,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull dinov2-giant,
grounding-dino-tiny,grounding-dino,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,IDEA-Research/grounding-dino-tiny,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull grounding-dino-tiny,
grounding-dino-base,grounding-dino,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,IDEA-Research/grounding-dino-base,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull grounding-dino-base,
grounding-dino-swin-t,grounding-dino,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull grounding-dino-swin-t,
grounding-dino-swin-b,grounding-dino,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull grounding-dino-swin-b,
florence-2-base,florence2,MIT,MIT,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,microsoft/Florence-2-base,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull florence-2-base,
florence-2-large,florence2,MIT,MIT,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,microsoft/Florence-2-large,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull florence-2-large,
clip-vit-base-patch32,clip,MIT,MIT,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,openai/clip-vit-base-patch32,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull clip-vit-base-patch32,
owlvit-base-patch32,owlvit,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,google/owlvit-base-patch32,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull owlvit-base-patch32,
owlv2-base-patch16-ensemble,owlv2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,google/owlv2-base-patch16-ensemble,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull owlv2-base-patch16-ensemble,
depth-anything-small,depth-anything,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,LiheYoung/depth-anything-small-hf,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull depth-anything-small,
rfdetr-seg-nano,rf-detr,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull rfdetr-seg-nano,
rfdetr-seg-small,rf-detr,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull rfdetr-seg-small,
rfdetr-seg-medium,rf-detr,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull rfdetr-seg-medium,
rfdetr-seg-large,rf-detr,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull rfdetr-seg-large,
efficientvit-sam-l0,efficient-sam,Apache-2.0,Apache-2.0,medium,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull efficientvit-sam-l0,Apache-2.0 weights; SA-1B research-only dataset provenance documented.
efficientvit-sam-l1,efficient-sam,Apache-2.0,Apache-2.0,medium,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull efficientvit-sam-l1,
efficientvit-sam-l2,efficient-sam,Apache-2.0,Apache-2.0,medium,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull efficientvit-sam-l2,
ritm,interactive-seg,MIT,MIT,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull ritm  # MIT; user-supplied checkpoint path ok,"MIT code, SBD/COCO+LVIS datasets; no NC backbone. Checkpoint user-supplied."
maskdino,maskdino,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull maskdino,Apache-2.0; commercial-safe core when the Detectron2 sidecar runtime builds.
co-dino,co-detr,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull co-dino,Apache-2.0; commercial-safe core when the mmdet sidecar runtime builds.
rt-detrv4,rt-detr,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull rt-detrv4,Apache-2.0; checkpoint via official source; core when runtime works.
rtmdet,rtmdet,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull rtmdet,Apache-2.0 (OpenMMLab); core when the mmdet sidecar runtime builds.
sam3-base,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-base --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-image,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-image --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-video,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-video --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-text-prompt,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-text-prompt --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-visual-prompt,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-visual-prompt --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-exemplar-prompt,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-exemplar-prompt --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-open-vocabulary,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-open-vocabulary --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3-tracking,sam3,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3-tracking --accept-upstream-license,Gated custom SAM License (not Apache). Provenance flagged unverified post-cutoff; commercial use depends on accepted terms.
sam3.1-base,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-base --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
sam3.1-image,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-image --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
sam3.1-video,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-video --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
sam3.1-open-vocabulary,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-open-vocabulary --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
sam3.1-text-prompt,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-text-prompt --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
sam3.1-visual-prompt,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-visual-prompt --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
sam3.1-real-time-tracking,sam3.1,"SAM License (Meta custom, gated)","SAM License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/sam3.1,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull sam3.1-real-time-tracking --accept-upstream-license,Gated custom SAM License (not Apache). Drop-in for SAM 3.
dinov3-vits16,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vits16-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vits16 --accept-upstream-license,ViT-S/16 ~21M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vits16plus,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vits16plus-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vits16plus --accept-upstream-license,ViT-S+/16 ~29M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vitb16,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vitb16-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vitb16 --accept-upstream-license,ViT-B/16 ~86M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vitl16,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vitl16-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vitl16 --accept-upstream-license,ViT-L/16 ~300M LVD. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vitl16-sat,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vitl16-pretrain-sat493m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vitl16-sat --accept-upstream-license,ViT-L/16 ~300M SAT. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vith16plus,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vith16plus-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vith16plus --accept-upstream-license,ViT-H+/16 ~840M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vit7b16,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vit7b16-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vit7b16 --accept-upstream-license,ViT-7B/16 ~6.8B LVD (large footprint; CPU only on <24GB VRAM machines). Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-vit7b16-sat,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-vit7b16-pretrain-sat493m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-vit7b16-sat --accept-upstream-license,ViT-7B/16 ~6.8B SAT (large footprint; CPU only on <24GB VRAM machines). Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-convnext-tiny,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-convnext-tiny --accept-upstream-license,ConvNeXt-Tiny ~29M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-convnext-small,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-convnext-small-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-convnext-small --accept-upstream-license,ConvNeXt-Small ~50M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-convnext-base,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-convnext-base-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-convnext-base --accept-upstream-license,ConvNeXt-Base ~119M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
dinov3-convnext-large,dinov3,"DINOv3 License (Meta custom, gated)","DINOv3 License (Meta custom, gated)",medium,True,True,True,False,False,False,False,False,True,byot_license_required,facebook/dinov3-convnext-large-pretrain-lvd1689m,This model is gated or uses a custom upstream license. You must use your own Hugging Face token and accept the upstream license yourself. VisionServeX does not redistribute the weights. Commercial use depends on the upstream license terms you accepted.,visionservex hf connect && visionservex model pull dinov3-convnext-large --accept-upstream-license,ConvNeXt-Large ~198M. Custom DINOv3 License: commercial use permitted with 'Built with DINOv3' attribution + acceptable-use + no-compete-training conditions. Gated; BYOT only.
grounding-dino-1.5,grounding-dino,Apache-2.0 (client SDK only),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DDS_API_KEY=... && visionservex model license grounding-dino-1.5,Cloud-only (DeepDataSpace); weights proprietary.
grounding-dino-1.5-pro,grounding-dino,Apache-2.0 (client SDK only),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DDS_API_KEY=... && visionservex model license grounding-dino-1.5-pro,"API-only, no weights. Commercial via paid quota + API ToS."
grounding-dino-1.6-pro,grounding-dino,Apache-2.0 (client SDK only),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DDS_API_KEY=... && visionservex model license grounding-dino-1.6-pro,"SOTA variant. API-only, no weights."
dino-x-api,dino-x,proprietary (hosted API),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DINOX_API_KEY=... && visionservex model license dino-x-api,Meta-entry for the DINO-X suite. DINOX_API_KEY; paid quota.
dino-x-detection,dino-x,proprietary (hosted API),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DINOX_API_KEY=... && visionservex model license dino-x-detection,
dino-x-segmentation,dino-x,proprietary (hosted API),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DINOX_API_KEY=... && visionservex model license dino-x-segmentation,
dino-x-phrase-grounding,dino-x,proprietary (hosted API),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DINOX_API_KEY=... && visionservex model license dino-x-phrase-grounding,
dino-x-counting,dino-x,proprietary (hosted API),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DINOX_API_KEY=... && visionservex model license dino-x-counting,
dino-x-region-captioning,dino-x,proprietary (hosted API),not released,n/a,False,False,True,False,False,False,False,False,False,external_api_only_terms_required,,External API model. Your data may leave the local environment. You must provide your own provider API key and comply with provider terms.,export DINOX_API_KEY=... && visionservex model license dino-x-region-captioning,
