entry_id,official_repo,model_card,code_license,weights_license,weights_available,commercial_use_allowed,redistribution_allowed,recommended_state,last_activity,confidence,evidence_summary
edge-sam,https://github.com/chongzhou96/EdgeSAM,https://huggingface.co/chongzhou/EdgeSAM,S-Lab License 1.0 (NTU) — NON-COMMERCIAL,S-Lab License 1.0 (NTU) — NON-COMMERCIAL,public_download,no,no,excluded_restricted,2023-2024,high,"LICENSE file confirmed: S-Lab License 1.0 (NTU MMLab, S-Lab 2022). Text explicitly limits 'Redistribution and use for non-commercial purpose'; commercial use 'requires' contacting the contributors. Bo"
medsam,https://github.com/bowang-lab/MedSAM,https://huggingface.co/wanglab/medsam-vit-base,Apache-2.0,Apache-2.0 (HF card wanglab/medsam-vit-base tagged apache-2.0; also mirrored apache-2.0 at flaviagiammarino/medsam-vit-b,public_download,conditional,yes,legal_review_required,"2025 (active; core v1.0.0 release Jan 2024, 2025 news re: MedSAM2/CVPR challenges)",medium,"Code Apache-2.0 (LICENSE confirmed) and weights published Apache-2.0 on HF (wanglab/medsam-vit-base, not gated; also Zenodo 10689643 + Google Drive). Both code and weights themselves permit commercial"
medsam2,https://github.com/bowang-lab/MedSAM2,https://huggingface.co/wanglab/MedSAM2,Apache-2.0,Research/education-only (HF card tagged cc-by-sa-4.0 but explicitly restricts weights to research and education purposes,public_download,no,yes,excluded_restricted,"2025 (active; arXiv April 2025, ongoing HF/GitHub releases)",high,"GitHub code is Apache-2.0 (LICENSE confirmed), but the HF weights card (wanglab/MedSAM2) is tagged cc-by-sa-4.0 AND states verbatim: 'The model weights can only be used for research and education purp"
"sam3 (base / image — open-vocab text, exemplar & visual prompts)",https://github.com/facebookresearch/sam3,https://huggingface.co/facebook/sam3,"SAM License (custom, dated 2025-11-19; NOT Apache-2.0)","SAM License (custom; shown as 'other' on HF, same agreement as code)",hf_gated,conditional,yes,auth_required,Repo/weights released 2025-11-19; HF updated ~2026-03-26,high,"Released 2025-11-19. Unified 848M/~0.9B-param model (shared encoder + DETR detector + tracker). Single checkpoint covers image segmentation with TEXT prompts, VISUAL prompts (points/boxes/masks), EXEM"
sam3-video (video segmentation),https://github.com/facebookresearch/sam3,https://huggingface.co/facebook/sam3,"SAM License (custom, 2025-11-19; NOT Apache-2.0)",SAM License (custom; 'other' on HF),hf_gated,conditional,yes,auth_required,Released 2025-11-19; HF updated ~2026-03-26,high,"Released variant for video segmentation/tracking, documented on facebook/sam3 HF card as one of four checkpoints (SAM3, SAM3 Video, SAM3 Tracker, SAM3 Tracker Video). Same gated access and same custom"
sam3-tracker (image PVS / promptable visual segmentation),https://github.com/facebookresearch/sam3,https://huggingface.co/facebook/sam3,"SAM License (custom, 2025-11-19; NOT Apache-2.0)",SAM License (custom; 'other' on HF),hf_gated,conditional,yes,auth_required,Released 2025-11-19; HF updated ~2026-03-26,high,"SAM3 Tracker performs Promptable Visual Segmentation on images (updated SAM2-compatible API). One of the four released checkpoints on facebook/sam3, gated, under the custom SAM License. Same condition"
sam3-tracker-video (video tracking),https://github.com/facebookresearch/sam3,https://huggingface.co/facebook/sam3,"SAM License (custom, 2025-11-19; NOT Apache-2.0)",SAM License (custom; 'other' on HF),hf_gated,conditional,yes,auth_required,Released 2025-11-19; HF updated ~2026-03-26,high,"Fourth released SAM 3 checkpoint (SAM3 Tracker Video) for multi-object tracking in video. Gated on facebook/sam3, custom SAM License, conditional commercial use, redistribution allowed under same agre"
sam3 text-prompt / open-vocabulary capability (NOT a separate checkpoint),https://github.com/facebookresearch/sam3,https://huggingface.co/facebook/sam3,"SAM License (custom, 2025-11-19; NOT Apache-2.0)",SAM License (custom; 'other' on HF),hf_gated,conditional,yes,auth_required,Released 2025-11-19; HF updated ~2026-03-26,high,"Clarification row: 'text-prompt', 'visual-prompt', 'exemplar-prompt' and 'open-vocabulary' are NOT separately distributed weights — they are inference modes of the unified sam3/sam3-video checkpoints "
sam3.1 (Object Multiplex — improved checkpoint suite),https://github.com/facebookresearch/sam3,https://huggingface.co/facebook/sam3.1,"SAM License (custom, 2025-11-19; NOT Apache-2.0)",SAM License (custom; 'other' on HF),hf_gated,conditional,yes,auth_required,Released 2026-03-27; HF updated ~2026-03-26/27,high,"SAM 3.1 DOES exist publicly and is released: announced 2026-03-27 ('Object Multiplex', shared-memory joint multi-object tracking, ~7x faster at 128 objects on a single H100). HF repo facebook/sam3.1 i"
dino-vits8,https://github.com/facebookresearch/dino,https://huggingface.co/facebook/dino-vits8,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Repo last substantive activity ~2021-2022 (stable/inactive); weights still publicly hosted as of 2026.,high,facebookresearch/dino repo is Apache-2.0 (LICENSE file). Pretrained ViT-S/8 weights distributed via torch.hub and HF (facebook/dino-vits8) under the same Apache-2.0 terms. Permissive: commercial use a
dino-vits16,https://github.com/facebookresearch/dino,https://huggingface.co/facebook/dino-vits16,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Repo stable since ~2021-2022; weights publicly hosted as of 2026.,high,"Same Apache-2.0 repo/weights as DINO family. ViT-S/16 weights public on HF (facebook/dino-vits16) and torch.hub. No gating, commercial use and redistribution permitted."
dino-vitb8,https://github.com/facebookresearch/dino,https://huggingface.co/facebook/dino-vitb8,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Repo stable since ~2021-2022; weights publicly hosted as of 2026.,high,"Same Apache-2.0 repo/weights as DINO family. ViT-B/8 weights public on HF (facebook/dino-vitb8) and torch.hub. No gating, commercial use and redistribution permitted."
dino-vitb16,https://github.com/facebookresearch/dino,https://huggingface.co/facebook/dino-vitb16,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Repo stable since ~2021-2022; weights publicly hosted as of 2026.,high,"Same Apache-2.0 repo/weights as DINO family. ViT-B/16 weights public on HF (facebook/dino-vitb16) and torch.hub. No gating, commercial use and redistribution permitted."
dinov2-vits14,https://github.com/facebookresearch/dinov2,https://huggingface.co/facebook/dinov2-small,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Relicensed to Apache-2.0 Sept 2023; repo maintained; weights publicly hosted as of 2026.,high,DINOv2 was initially CC-BY-NC research preview but Meta commercially RELICENSED both code and model weights to Apache-2.0 in Sept 2023 (AI at Meta blog + repo LICENSE). ViT-S/14 = HF facebook/dinov2-s
dinov2-vitb14,https://github.com/facebookresearch/dinov2,https://huggingface.co/facebook/dinov2-base,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Relicensed Apache-2.0 Sept 2023; weights publicly hosted as of 2026.,high,"Apache-2.0 (Sept 2023 commercial relicense of code+weights). ViT-B/14 = HF facebook/dinov2-base. Public download, no gating, commercial use and redistribution permitted."
dinov2-vitl14,https://github.com/facebookresearch/dinov2,https://huggingface.co/facebook/dinov2-large,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Relicensed Apache-2.0 Sept 2023; weights publicly hosted as of 2026.,high,"Apache-2.0 (Sept 2023 commercial relicense of code+weights). ViT-L/14 = HF facebook/dinov2-large. Public download, no gating, commercial use and redistribution permitted."
dinov2-vitg14,https://github.com/facebookresearch/dinov2,https://huggingface.co/facebook/dinov2-giant,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Relicensed Apache-2.0 Sept 2023; weights publicly hosted as of 2026.,high,"Apache-2.0 (Sept 2023 commercial relicense of code+weights). ViT-g/14 = HF facebook/dinov2-giant. Public download, no gating, commercial use and redistribution permitted."
dinov3-vits16,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-vits16-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"DINOv3 (released 14 Aug 2025) uses a CUSTOM 'DINOv3 License' for BOTH code and weights — explicitly NOT Apache-2.0 (community Apache request denied, repo issue #31). Weights are HF-gated / Meta access"
dinov3-vitb16,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-vitb16-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ViT-B/16 di"
dinov3-vitl16,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-vitl16-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ViT-L/16 di"
dinov3-vit7b16,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-vit7b16-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ViT-7B/16 f"
dinov3-convnext-tiny,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-convnext-tiny-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ConvNeXt-Ti"
dinov3-convnext-small,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-convnext-small-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ConvNeXt-Sm"
dinov3-convnext-base,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-convnext-base-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ConvNeXt-Ba"
dinov3-convnext-large,https://github.com/facebookresearch/dinov3,https://huggingface.co/facebook/dinov3-convnext-large-pretrain-lvd1689m,"DINOv3 License (custom Meta, NOT Apache-2.0)","DINOv3 License (custom Meta, NOT Apache-2.0)",hf_gated,conditional,yes,auth_required,Released August 2025; active repo as of 2026.,high,"Custom DINOv3 License (NOT Apache-2.0) for code+weights; HF-gated access request. Commercial use conditional ('Built with DINOv3' attribution, redistribute license, Acceptable Use Policy). ConvNeXt-La"
grounding-dino-swin-t,https://github.com/IDEA-Research/GroundingDINO,https://huggingface.co/IDEA-Research/grounding-dino-tiny,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Repo 2023-2024; HF port stable/maintained 2025,high,"HF transformers port (Swin-T backbone + BERT-base text). Model card tagged apache-2.0; repo LICENSE verified Apache-2.0. Weights public, ~2.5M monthly downloads, no gating. Backbone (MS Swin) is MIT. "
grounding-dino-swin-b,https://github.com/IDEA-Research/GroundingDINO,https://huggingface.co/IDEA-Research/grounding-dino-base,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,Repo 2023-2024; HF port stable 2025,medium,"HF transformers port (Swin-B backbone). Model card tagged apache-2.0; weights public download, no gating. Commercial use permitted by license. Training-data caveat is heavier than Swin-T: the Swin-B c"
grounding-dino-original-swin-t,https://github.com/IDEA-Research/GroundingDINO,https://github.com/IDEA-Research/GroundingDINO#luggage-checkpoints (groundingdino_swint_ogc.pth),Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,GitHub releases 2023; repo 2024,high,"Original upstream checkpoint groundingdino_swint_ogc.pth from GitHub releases, consumed by the original groundingdino package (PyPI groundingdino-py). Repo LICENSE Apache-2.0; weights publicly downloa"
grounding-dino-original-swin-b,https://github.com/IDEA-Research/GroundingDINO,https://github.com/IDEA-Research/GroundingDINO#luggage-checkpoints (groundingdino_swinb_cogcoor.pth),Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,GitHub releases 2023; repo 2024,medium,"Original upstream checkpoint groundingdino_swinb_cogcoor.pth (GitHub releases), Apache-2.0 repo license, public download. Equivalent to HF Swin-B port. Heavier training-data provenance (COCO/OpenImage"
grounding-dino-1.5,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,https://www.deepdataspace.com/en/blog/5 (Grounding DINO 1.5 Pro),Apache-2.0 (API client/example code only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2024-2025,high,"Apache-2.0 tag applies ONLY to the GitHub API client/examples, NOT to the model. Weights are hosted on DeepDataSpace (IDEA, idea.edu.cn) and are not downloadable. Mandatory API token via request porta"
grounding-dino-1.6,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,https://deepdataspace.com/en/blog (Grounding DINO 1.6),Apache-2.0 (API client/example code only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2024-2025,high,"Served through the same Grounding-DINO-1.5-API platform; 1.6 reports SOTA zero-shot (55.4 AP COCO, 57.7 AP LVIS-minival). Weights not downloadable, token-gated, paid quota via DeepDataSpace. Apache-2."
grounding-dino-1.5-pro,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,https://www.deepdataspace.com/en/blog/5,Apache-2.0 (API client/example code only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2024-2025,high,"'Pro' is the flagship high-accuracy tier, API-only on DeepDataSpace. Weights never published; mandatory token, paid quota. Apache-2.0 applies only to client wrappers. Commercial use strictly via the m"
grounding-dino-1.6-pro,https://github.com/IDEA-Research/Grounding-DINO-1.5-API,https://deepdataspace.com/en/blog (Grounding DINO 1.6 Pro),Apache-2.0 (API client/example code only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2025,high,"Highest-accuracy Pro tier (improved animal/text detection vs 1.5 Pro), API-only on DeepDataSpace. No downloadable weights; token-gated, paid quota. Apache-2.0 = client code only. Commercial use condit"
dino-x-api,https://github.com/IDEA-Research/DINO-X-API,https://arxiv.org/abs/2411.14347 / https://deepdataspace.com/en/blog/7,Apache-2.0 (API client/example code only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,Released Nov 2024; API active 2025,high,"Unified open-world vision model, served only through the DeepDataSpace cloud API. Weights NOT downloadable. Mandatory API token via request portal; paid quota (WeChat Pay). Apache-2.0 tag covers only "
dino-x-detection,https://github.com/IDEA-Research/DINO-X-API,https://arxiv.org/abs/2411.14347,Apache-2.0 (API client only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2025,high,"Open-set object detection task of the DINO-X API (text/visual/prompt-free). Same backend as dino-x-api: weights API-only, token-gated, paid quota under DeepDataSpace ToS. No downloadable model; commer"
dino-x-segmentation,https://github.com/IDEA-Research/DINO-X-API,https://arxiv.org/abs/2411.14347,Apache-2.0 (API client only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2025,high,"Instance/open-set segmentation (mask) task of the DINO-X API. Weights API-only, token-gated, paid. Apache-2.0 = client code only. Commercial use conditional on DeepDataSpace ToS + paid quota; not self"
dino-x-phrase-grounding,https://github.com/IDEA-Research/DINO-X-API,https://arxiv.org/abs/2411.14347,Apache-2.0 (API client only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2025,high,"Phrase grounding / referring task of the DINO-X API. Weights API-only, token-gated, paid quota under DeepDataSpace ToS. Apache-2.0 covers client wrappers only. Commercial use conditional; no redistrib"
dino-x-counting,https://github.com/IDEA-Research/DINO-X-API,https://arxiv.org/abs/2411.14347,Apache-2.0 (API client only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2025,high,"Visual-prompt counting task of the DINO-X API. Backend weights API-only, token-gated, paid. Apache-2.0 = client code only. Commercial use conditional on paid API + DeepDataSpace ToS; not redistributab"
dino-x-region-captioning,https://github.com/IDEA-Research/DINO-X-API,https://arxiv.org/abs/2411.14347,Apache-2.0 (API client only),Proprietary — DeepDataSpace API Terms of Service,api_only,conditional,no,external_api_only,API active 2025,high,"Region captioning (per-object text) task of the DINO-X API. Weights API-only, token-gated, paid quota under DeepDataSpace ToS. Apache-2.0 applies to client code only. Commercial use conditional; no do"
sam-vit-b-onnx,https://github.com/facebookresearch/segment-anything,https://huggingface.co/facebook/sam-vit-base,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2024 (repo stable/maintenance; weights static),high,"SAM v1 ViT-B (91M). Code AND checkpoint Apache-2.0 (facebookresearch/segment-anything LICENSE; HF facebook/sam-vit-base, public download, not gated). Meta released the trained weights as Apache-2.0 fo"
sam-vit-l-onnx,https://github.com/facebookresearch/segment-anything,https://huggingface.co/facebook/sam-vit-large,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2024 (weights static),high,"SAM v1 ViT-L (308M). Same Apache-2.0 code+weights as ViT-B (HF facebook/sam-vit-large, public download). LOCAL ONNX export is license-clean from the Apache-2.0 weights; official exporter covers decode"
sam-vit-h-onnx,https://github.com/facebookresearch/segment-anything,https://huggingface.co/facebook/sam-vit-huge,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2024 (weights static),high,"SAM v1 ViT-H (636M, default). Apache-2.0 code+weights (HF facebook/sam-vit-huge, public download, not gated). LOCAL ONNX export is fully license-clean from Apache-2.0 weights; exported encoder+decoder"
sam2-onnx,https://github.com/facebookresearch/sam2,https://huggingface.co/facebook/sam2-hiera-large,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2024-2025 (active),medium,"SAM 2 (Hiera backbone, image+video). facebookresearch/sam2 LICENSE = Apache-2.0 (verified); HF facebook/sam2-hiera-tiny/small/base-plus/large are public download, not gated. Commercial use + redistrib"
sam2.1-onnx,https://github.com/facebookresearch/sam2,https://huggingface.co/facebook/sam2.1-hiera-large,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2024-2025 (active),medium,SAM 2.1 (updated SAM 2 checkpoints). Same Apache-2.0 code (facebookresearch/sam2) and Apache-2.0 weights; HF facebook/sam2.1-hiera-large model card explicitly lists apache-2.0 and weights are freely d
mobilesam-onnx,https://github.com/ChaoningZhang/MobileSAM,https://github.com/ChaoningZhang/MobileSAM,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2023-2024,high,"MobileSAM (TinyViT image encoder, SAM-compatible decoder). ChaoningZhang/MobileSAM LICENSE = Apache-2.0 (verified); weights/mobile_sam.pt ships in-repo (public download, redistributable). Strongest ON"
efficientsam-onnx,https://github.com/yformer/EfficientSAM,https://github.com/yformer/EfficientSAM,Apache-2.0,Apache-2.0,public_download,yes,yes,benchmark_passed_candidate,2024,high,"EfficientSAM (CVPR 2024; ViT-T and ViT-S encoders via SAMI masked-image pretraining). yformer/EfficientSAM LICENSE = Apache-2.0 (verified). Weights ship in-repo (weights/efficient_sam_vitt.pt, weights"
