model_id,lane,blocker_category,runtime_id,current_state,exact_issue,deep_research_fix,exact_command,expected_healthy_state,fallback_blocker,can_reduce_nonhealthy_without_user_token,needs_sidecar_build,needs_repo_clone,needs_checkpoint_pull,priority
bytetrack,B,Standalone Sidecar,tracking_bytetrack_py310,sidecar_required,lap PEP-517 build fails; bytetracker pip wrapper rebuilds lap anyway.,Pre-install numpy + cython then lap from conda-forge then ByteTrack repo.,visionservex runtime prepare bytetrack --execute --runtime tracking_bytetrack_py310,smoke_passed,LAP_PREINSTALL_FAILED,True,True,True,False,P1
edgesam,B,Standalone Sidecar,promptable_edgesam_py310,sidecar_required,Not on PyPI; needs chongzhou96/EdgeSAM repo + checkpoint from HF Spaces.,Clone EdgeSAM repo; pip install -e .; pull edge_sam.pth from HF.,visionservex runtime prepare edgesam --execute --runtime promptable_edgesam_py310,smoke_passed,EDGESAM_CHECKPOINT_NOT_FOUND,True,True,True,True,P1
medsam2,B,Standalone Sidecar,medical_medsam2_py310,sidecar_required,Needs bowang-lab/MedSAM2 + cc3d + PyQt5 + nibabel + HF checkpoint.,Clone MedSAM2 repo; install cc3d PyQt5 nibabel SimpleITK; pull HF checkpoint.,visionservex runtime prepare medsam2 --execute --runtime medical_medsam2_py310,smoke_passed,MEDSAM2_CHECKPOINT_NOT_FOUND,True,True,True,True,P1
osnet-x1.0,B,Standalone Sidecar,reid_torchreid_py310,sidecar_required,Plain PyPI torchreid is unmaintained; needs KaiyangZhou/deep-person-reid from source.,Clone deep-person-reid repo; pip install -e .; pull OSNet checkpoint.,visionservex runtime prepare osnet-x1.0 --execute --runtime reid_torchreid_py310,smoke_passed,TORCHREID_CHECKPOINT_NOT_FOUND,True,True,True,True,P2
nnunet-v2,B,Standalone Sidecar,medical_medsam2_py310,sidecar_required,Official package is nnunetv2 (DKFZ); registry uses wrong name.,pip install nnunetv2; medical data still required for real benchmark.,visionservex runtime prepare nnunet-v2 --execute --runtime medical_medsam2_py310,smoke_passed,MEDSAM2_DATA_FORMAT_REQUIRED,True,True,False,False,P2
mobilesam,B,Standalone Sidecar,promptable_edgesam_py310,sidecar_required,Distilled SAM; needs ChaoningZhang/MobileSAM repo.,Clone MobileSAM repo; pip install -e .; pull mobile_sam.pt.,visionservex runtime prepare mobilesam --execute --runtime promptable_edgesam_py310,smoke_passed,EDGESAM_CHECKPOINT_NOT_FOUND,True,True,True,True,P2
efficientsam,B,Standalone Sidecar,promptable_edgesam_py310,sidecar_required,ViT-MAE distilled SAM; needs yformer/EfficientSAM.,Clone EfficientSAM repo; pip install -e .; pull checkpoint.,visionservex runtime prepare efficientsam --execute --runtime promptable_edgesam_py310,smoke_passed,EDGESAM_CHECKPOINT_NOT_FOUND,True,True,True,True,P2
hq-sam,B,Standalone Sidecar,promptable_edgesam_py310,sidecar_required,High-Quality SAM; needs SysCV/sam-hq.,Clone sam-hq repo; pip install -e .; pull checkpoint.,visionservex runtime prepare hq-sam --execute --runtime promptable_edgesam_py310,smoke_passed,EDGESAM_CHECKPOINT_NOT_FOUND,True,True,True,True,P2
co-dino-inst-vit-l-coco,C,OpenMMLab Heavy,codetr_openmmlab_py310,sidecar_required,Needs Sense-X/Co-DETR repo + MMDetection 2.x/3.x + COCO config.,Build py3.10 conda env with mmdet/mmcv. Clone Co-DETR. Pull checkpoint.,visionservex runtime prepare co-dino-inst-vit-l-coco --execute --runtime codetr_openmmlab_py310,contract_passed,CODETR_CONFIG_NOT_FOUND,True,True,True,True,P0
co-dino-inst-vit-l-lvis,C,OpenMMLab Heavy,codetr_openmmlab_py310,sidecar_required,Same as COCO variant with LVIS config.,Same as co-dino-inst-vit-l-coco with LVIS config.,visionservex runtime prepare co-dino-inst-vit-l-lvis --execute --runtime codetr_openmmlab_py310,contract_passed,CODETR_CONFIG_NOT_FOUND,True,True,True,True,P0
internimage-t,C,OpenMMLab Heavy,internimage_dcnv3_py310,sidecar_required,DCNv3 custom CUDA op build required OR trust_remote_code CPU fallback.,Build DCNv3 with gcc/ninja; fallback to trust_remote_code if build fails.,visionservex runtime prepare internimage-t --execute --runtime internimage_dcnv3_py310,smoke_passed,DCNV3_BUILD_FAILED,True,True,True,True,P0
internimage-s,C,OpenMMLab Heavy,internimage_dcnv3_py310,sidecar_required,Same as internimage-t.,Same as internimage-t.,visionservex runtime prepare internimage-s --execute --runtime internimage_dcnv3_py310,smoke_passed,DCNV3_BUILD_FAILED,True,True,True,True,P1
internimage-b,C,OpenMMLab Heavy,internimage_dcnv3_py310,sidecar_required,Same as internimage-t.,Same as internimage-t.,visionservex runtime prepare internimage-b --execute --runtime internimage_dcnv3_py310,smoke_passed,DCNV3_BUILD_FAILED,True,True,True,True,P1
internimage-l,C,OpenMMLab Heavy,internimage_dcnv3_py310,sidecar_required,Same as internimage-t with Large config.,Same as internimage-t.,visionservex runtime prepare internimage-l --execute --runtime internimage_dcnv3_py310,smoke_passed,DCNV3_BUILD_FAILED,True,True,True,True,P1
internimage-h,C,OpenMMLab Heavy,internimage_dcnv3_py310,sidecar_required,Same as internimage-t with Huge config; may OOM on 16 GB VRAM.,Same as internimage-t; CPU fallback recommended.,visionservex runtime prepare internimage-h --execute --runtime internimage_dcnv3_py310,smoke_passed,INTERNIMAGE_HUGE_OOM,True,True,True,True,P2
rtmdet-r-t,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Needs MMRotate 1.x + MMDet 3.x.,Build MMRotate 1.x sidecar with rotated_rtmdet config.,visionservex runtime prepare rtmdet-r-t --execute --runtime obb_rtmdetr2_py310,contract_passed,MMROTATE_1X_ENV_FAILED,True,True,True,True,P1
rtmdet-r-s,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Same as rtmdet-r-t.,Same as rtmdet-r-t.,visionservex runtime prepare rtmdet-r-s --execute --runtime obb_rtmdetr2_py310,contract_passed,MMROTATE_1X_ENV_FAILED,True,True,True,True,P1
rtmdet-r-m,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Same as rtmdet-r-t.,Same as rtmdet-r-t.,visionservex runtime prepare rtmdet-r-m --execute --runtime obb_rtmdetr2_py310,contract_passed,MMROTATE_1X_ENV_FAILED,True,True,True,True,P2
rtmdet-r-l,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Same as rtmdet-r-t.,Same as rtmdet-r-t.,visionservex runtime prepare rtmdet-r-l --execute --runtime obb_rtmdetr2_py310,contract_passed,MMROTATE_1X_ENV_FAILED,True,True,True,True,P2
rtmdet-r2-t,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Needs Zeba-Xie/RTMDet-R2 repo + MMRotate 1.x.,Clone Zeba-Xie/RTMDet-R2; integrate with MMRotate 1.x.,visionservex runtime prepare rtmdet-r2-t --execute --runtime obb_rtmdetr2_py310,contract_passed,RTMDETR2_REPO_CLONE_FAILED,True,True,True,True,P1
rtmdet-r2-m,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Same as rtmdet-r2-t.,Same as rtmdet-r2-t.,visionservex runtime prepare rtmdet-r2-m --execute --runtime obb_rtmdetr2_py310,contract_passed,RTMDETR2_REPO_CLONE_FAILED,True,True,True,True,P2
rtmdet-r2-l,C,OpenMMLab Heavy,obb_rtmdetr2_py310,sidecar_required,Same as rtmdet-r2-t.,Same as rtmdet-r2-t.,visionservex runtime prepare rtmdet-r2-l --execute --runtime obb_rtmdetr2_py310,contract_passed,RTMDETR2_REPO_CLONE_FAILED,True,True,True,True,P2
maskdino-r50-coco,C,OpenMMLab Heavy,maskdino_detectron2_py310,sidecar_required,Needs Detectron2 + IDEA-Research/MaskDINO + COCO config.,Build Detectron2 from source; clone MaskDINO; build pixel-decoder ops.,visionservex runtime prepare maskdino-r50-coco --execute --runtime maskdino_detectron2_py310,contract_passed,DETECTRON2_BUILD_FAILED,True,True,True,True,P1
maskdino-r50-panoptic,C,OpenMMLab Heavy,maskdino_detectron2_py310,sidecar_required,Same as maskdino-r50-coco with panoptic config.,Same as maskdino-r50-coco.,visionservex runtime prepare maskdino-r50-panoptic --execute --runtime maskdino_detectron2_py310,contract_passed,DETECTRON2_BUILD_FAILED,True,True,True,True,P2
maskdino-swinl-coco,C,OpenMMLab Heavy,maskdino_detectron2_py310,sidecar_required,Mislabeled SIDECAR_ENV_MISSING; same Detectron2 + MaskDINO sidecar.,Reclassify to OPENMMLAB_REQUIRED; same sidecar.,visionservex runtime prepare maskdino-swinl-coco --execute --runtime maskdino_detectron2_py310,contract_passed,DETECTRON2_BUILD_FAILED,True,True,True,True,P2
seem-focal-t,C,OpenMMLab Heavy,seem_xdecoder_container,sidecar_required,Needs UX-Decoder/SEEM + microsoft/X-Decoder + OpenMPI.,Container path strongly recommended; py3.9 + torch 1.13 + OpenMPI.,visionservex runtime prepare seem-focal-t --execute --runtime seem_xdecoder_container,contract_passed,SEEM_CONTAINER_BUILD_FAILED,True,True,True,True,P3
seem-davit-d3,C,OpenMMLab Heavy,seem_xdecoder_container,sidecar_required,Same as seem-focal-t.,Same as seem-focal-t.,visionservex runtime prepare seem-davit-d3 --execute --runtime seem_xdecoder_container,contract_passed,SEEM_CONTAINER_BUILD_FAILED,True,True,True,True,P3
oneformer-dinat-large,C,OpenMMLab Heavy,oneformer_natten_py310,sidecar_required,Transformers 5.x DiNAT calls natten2dqkrpb which is removed in NATTEN >= 0.20.x.,Ship natten_compat shim monkeypatching natten2dqkrpb -> na2d_qk; pin transformers<5.0.,visionservex runtime prepare oneformer-dinat-large --execute --runtime oneformer_natten_py310,contract_passed,NATTEN_API_MISMATCH_UNPATCHABLE,True,True,True,True,P0
dino-x-api,D,API Gated,external_api_runtime,external_api_only,IDEA-Research API only; no local weights.,Implement REST client; require DINO_X_API_KEY.,visionservex run dino-x-api <input> --api-key $DINO_X_API_KEY,terminal_external_api_user_friendly,API_KEY_NOT_PROVIDED,False,False,False,False,P3
grounding-dino-1.5-pro,D,API Gated,external_api_runtime,external_api_only,IDEA-Research API only for Pro variant.,Implement REST client; require GDINO_API_KEY.,visionservex run grounding-dino-1.5-pro <input> --api-key $GDINO_API_KEY,terminal_external_api_user_friendly,API_KEY_NOT_PROVIDED,False,False,False,False,P3
grounding-dino-1.6-pro,D,API Gated,external_api_runtime,external_api_only,IDEA-Research API only for Pro variant.,Implement REST client; require GDINO_API_KEY.,visionservex run grounding-dino-1.6-pro <input> --api-key $GDINO_API_KEY,terminal_external_api_user_friendly,API_KEY_NOT_PROVIDED,False,False,False,False,P3
sam3-base,D,Auth Gated,auth_gate_runtime,auth_required,Meta gated weights; require HF_TOKEN + ToS acceptance.,Require HF_TOKEN env + --accept-meta-license flag.,visionservex run sam3-base <input> --accept-meta-license,terminal_auth_user_friendly,HF_TOKEN_NOT_PROVIDED,False,False,False,False,P2
fastsam-s,D,License Gated,license_gate_runtime,opt_in_license_required,FastSAM weights are AGPL-3.0.,Gate behind --accept-agpl flag.,visionservex run fastsam-s <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
fastsam-x,D,License Gated,license_gate_runtime,opt_in_license_required,Same as fastsam-s.,Same as fastsam-s.,visionservex run fastsam-x <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
rfdetr-seg-xlarge,D,License Gated,license_gate_runtime,opt_in_license_required,Roboflow PML 1.0 license requires registered account.,Gate behind --accept-pml + ROBOFLOW_ACCOUNT_ID.,visionservex run rfdetr-seg-xlarge <input> --accept-pml,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
rfdetr-seg-2xlarge,D,License Gated,license_gate_runtime,opt_in_license_required,Same as rfdetr-seg-xlarge.,Same as rfdetr-seg-xlarge.,visionservex run rfdetr-seg-2xlarge <input> --accept-pml,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
totalsegmentator,D,License Gated,license_gate_runtime,opt_in_license_required,Custom NC license for weights; commercial use requires direct author contact.,Gate behind --accept-non-commercial.,visionservex run totalsegmentator <input> --accept-non-commercial,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolo-world,D,License Gated,license_gate_runtime,opt_in_license_required,YOLO-World weights are AGPL-3.0.,Gate behind --accept-agpl.,visionservex run yolo-world <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolo11l-seg.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Ultralytics AGPL-3.0.,Gate behind --accept-agpl + VISIONSERVEX_ACCEPT_ULTRALYTICS_AGPL=1.,visionservex run yolo11l-seg.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolo11x-seg.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolo11x-seg.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolo11x.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolo11x.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolo26x-seg.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolo26x-seg.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolo26x.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolo26x.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolov10b.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolov10b.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolov8x-seg.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolov8x-seg.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
yolov8x.pt,D,License Gated,license_gate_runtime,opt_in_license_required,Same as yolo11l-seg.pt.,Same as yolo11l-seg.pt.,visionservex run yolov8x.pt <input> --accept-agpl,terminal_license_user_friendly,LICENSE_OPT_IN_NOT_PROVIDED,False,False,False,False,P3
