model_id,family,task,current_license_status,default_safe,current_final_state,current_blocker_code,current_implementation_status,current_engine,corrected_category,exact_reason,exact_fix_command,contract_command,benchmark_command_if_applicable,evidence_file,final_state_after_v237
deimv2-l,deimv2,detect,Apache-2.0,True,stub,DEIMV2_TORCH_VERSION_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.35 via deimv2_torch251 sidecar: mAP50:95=0.439, lat=14.9ms.",via DEIMv2 sidecar,via DEIMv2 sidecar,,reports/deimv2_detection_400_v235.json,benchmark_passed
deimv2-x,deimv2,detect,Apache-2.0,True,stub,DEIMV2_TORCH_VERSION_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.35 via deimv2_torch251 sidecar: mAP50:95=0.4523, lat=18.3ms.",via DEIMv2 sidecar,via DEIMv2 sidecar,,reports/deimv2_detection_400_v235.json,benchmark_passed
deimv2-atto,deimv2,detect,Apache-2.0,True,stub,DEIMV2_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.37 benchmark via deimv2_torch251 sidecar: mAP50:95=0.1556, lat=4.4ms.",visionservex deimv2 pull deimv2-atto,via sidecar,,reports/v237_deimv2_smaller_detection_400.json,benchmark_passed
deimv2-femto,deimv2,detect,Apache-2.0,True,stub,DEIMV2_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.37 benchmark via deimv2_torch251 sidecar: mAP50:95=0.1965, lat=4.5ms.",visionservex deimv2 pull deimv2-femto,via sidecar,,reports/v237_deimv2_smaller_detection_400.json,benchmark_passed
deimv2-pico,deimv2,detect,Apache-2.0,True,stub,DEIMV2_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.37 benchmark via deimv2_torch251 sidecar: mAP50:95=0.2677, lat=4.8ms.",visionservex deimv2 pull deimv2-pico,via sidecar,,reports/v237_deimv2_smaller_detection_400.json,benchmark_passed
deimv2-n,deimv2,detect,Apache-2.0,True,stub,DEIMV2_REQUIRED,wired,deimv2_sidecar,loader_missing,"Checkpoint structure mismatch: Error(s) in loading state_dict for DEIM:
	Missing key(s) in state_dict: ""decoder.decoder.layers.0.norm2.scale"", ""decoder. Config and weights don't align.",visionservex deimv2 pull deimv2-n,via sidecar,,reports/v237_deimv2_smaller_detection_400.json,checkpoint_state_dict_mismatch
rtdetrv4-s,rtdetrv4,detect,Apache-2.0,True,stub,RTDETRV4_REQUIRED,wired,rtdetrv4_torch,manual_checkpoint_required,Official RT-DETRv4 https://github.com/RT-DETRs/RT-DETRv4. Checkpoints via Google Drive — no auto-pull.,gdown <google_drive_id_rtdetrv4_s> -O ~/.cache/visionservex/rtdetrv4/rtdetrv4_s.pth,visionservex rtdetrv4 smoke-test rtdetrv4-s IMAGE --device cuda --backend torch,,reports/v237_rtdetrv4_checkpoint_state.json,manual_checkpoint_required
rtdetrv4-m,rtdetrv4,detect,Apache-2.0,True,stub,RTDETRV4_REQUIRED,wired,rtdetrv4_torch,manual_checkpoint_required,Official RT-DETRv4 https://github.com/RT-DETRs/RT-DETRv4. Checkpoints via Google Drive — no auto-pull.,gdown <google_drive_id_rtdetrv4_m> -O ~/.cache/visionservex/rtdetrv4/rtdetrv4_m.pth,visionservex rtdetrv4 smoke-test rtdetrv4-m IMAGE --device cuda --backend torch,,reports/v237_rtdetrv4_checkpoint_state.json,manual_checkpoint_required
rtdetrv4-l,rtdetrv4,detect,Apache-2.0,True,stub,RTDETRV4_REQUIRED,wired,rtdetrv4_torch,manual_checkpoint_required,Official RT-DETRv4 https://github.com/RT-DETRs/RT-DETRv4. Checkpoints via Google Drive — no auto-pull.,gdown <google_drive_id_rtdetrv4_l> -O ~/.cache/visionservex/rtdetrv4/rtdetrv4_l.pth,visionservex rtdetrv4 smoke-test rtdetrv4-l IMAGE --device cuda --backend torch,,reports/v237_rtdetrv4_checkpoint_state.json,manual_checkpoint_required
rtdetrv4-x,rtdetrv4,detect,Apache-2.0,True,stub,RTDETRV4_REQUIRED,wired,rtdetrv4_torch,manual_checkpoint_required,Official RT-DETRv4 https://github.com/RT-DETRs/RT-DETRv4. Checkpoints via Google Drive — no auto-pull.,gdown <google_drive_id_rtdetrv4_x> -O ~/.cache/visionservex/rtdetrv4/rtdetrv4_x.pth,visionservex rtdetrv4 smoke-test rtdetrv4-x IMAGE --device cuda --backend torch,,reports/v237_rtdetrv4_checkpoint_state.json,manual_checkpoint_required
grounding-dino-1.5,grounding-dino,open_vocab_detect,Apache-2.0,True,stub,EXTERNAL_API_REQUIRED,stub,api,auth_required,IDEA-Research/Grounding-DINO-1.5 is API-gated via DeepDataSpace. Requires DINO_X_API_KEY.,export DINO_X_API_KEY=<key> from cloud.deepdataspace.com,visionservex open-vocab detect grounding-dino-1.5 IMAGE --prompts 'person',,reports/v237_grounding_dino15_doctor.json,auth_required
grounding-dino-1.6,grounding-dino,open_vocab_detect,Apache-2.0,True,stub,EXTERNAL_API_REQUIRED,stub,api,auth_required,IDEA-Research/Grounding-DINO-1.6 is API-gated via DeepDataSpace. Requires DINO_X_API_KEY.,export DINO_X_API_KEY=<key> from cloud.deepdataspace.com,visionservex open-vocab detect grounding-dino-1.6 IMAGE --prompts 'person',,reports/v237_grounding_dino15_doctor.json,auth_required
sam3-base,sam3,promptable_segment,Apache-2.0,True,stub,HF_AUTH_REQUIRED,stub,huggingface,auth_required,facebook/sam3 HF-gated. Requires license acceptance + HF_TOKEN.,"1) accept license at hf.co/facebook/sam3, 2) huggingface-cli login, 3) export HF_TOKEN",visionservex sam3 contract-test sam3-base IMAGE --prompt 'person',,reports/v237_sam3_official_audit.json,auth_required
seem-davit-d3,seem,promptable_segment,Apache-2.0,True,stub,SIDECAR_REQUIRED,stub,,sidecar_required,X-Decoder/SEEM uses old dependency stack (Python 3.9/3.10 + Detectron2). No HF/Transformers route.,create SEEM sidecar via X-Decoder repo,via SEEM sidecar,,reports/v237_seem_official_audit.json,sidecar_required
seem-focal-t,seem,promptable_segment,Apache-2.0,True,stub,SIDECAR_REQUIRED,stub,,sidecar_required,X-Decoder/SEEM uses old dependency stack (Python 3.9/3.10 + Detectron2). No HF/Transformers route.,create SEEM sidecar via X-Decoder repo,via SEEM sidecar,,reports/v237_seem_official_audit.json,sidecar_required
co-dino-inst-vit-l-coco,co-detr,detect,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_detseg,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_detseg_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env detseg --python 3.11 --execute,visionservex openmmlab contract-test co-dino-inst-vit-l-coco IMAGE --sidecar openmmlab_detseg_py311,,reports/v237_openmmlab_audit.json,sidecar_required
co-dino-inst-vit-l-lvis,co-detr,detect,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_detseg,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_detseg_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env detseg --python 3.11 --execute,visionservex openmmlab contract-test co-dino-inst-vit-l-lvis IMAGE --sidecar openmmlab_detseg_py311,,reports/v237_openmmlab_audit.json,sidecar_required
maskdino-r50-coco,maskdino,segment,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_detseg,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_detseg_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env detseg --python 3.11 --execute,visionservex openmmlab contract-test maskdino-r50-coco IMAGE --sidecar openmmlab_detseg_py311,,reports/v237_openmmlab_audit.json,sidecar_required
maskdino-r50-panoptic,maskdino,segment,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_detseg,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_detseg_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env detseg --python 3.11 --execute,visionservex openmmlab contract-test maskdino-r50-panoptic IMAGE --sidecar openmmlab_detseg_py311,,reports/v237_openmmlab_audit.json,sidecar_required
internimage-t,internimage,classify,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_classify,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_classify_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env classify --python 3.11 --execute,visionservex openmmlab contract-test internimage-t IMAGE --sidecar openmmlab_classify_py311,,reports/v237_openmmlab_audit.json,sidecar_required
internimage-s,internimage,classify,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_classify,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_classify_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env classify --python 3.11 --execute,visionservex openmmlab contract-test internimage-s IMAGE --sidecar openmmlab_classify_py311,,reports/v237_openmmlab_audit.json,sidecar_required
internimage-b,internimage,classify,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_classify,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_classify_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env classify --python 3.11 --execute,visionservex openmmlab contract-test internimage-b IMAGE --sidecar openmmlab_classify_py311,,reports/v237_openmmlab_audit.json,sidecar_required
internimage-l,internimage,classify,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_classify,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_classify_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env classify --python 3.11 --execute,visionservex openmmlab contract-test internimage-l IMAGE --sidecar openmmlab_classify_py311,,reports/v237_openmmlab_audit.json,sidecar_required
internimage-h,internimage,classify,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_classify,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_classify_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env classify --python 3.11 --execute,visionservex openmmlab contract-test internimage-h IMAGE --sidecar openmmlab_classify_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r-s,rtmdet-r,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r-s IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r-t,rtmdet-r,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r-t IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r-m,rtmdet-r,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r-m IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r-l,rtmdet-r,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r-l IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r2-t,rtmdet-r2,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r2-t IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r2-m,rtmdet-r2,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r2-m IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmdet-r2-l,rtmdet-r2,obb,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_obb,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_obb_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env obb --python 3.11 --execute,visionservex openmmlab contract-test rtmdet-r2-l IMAGE --sidecar openmmlab_obb_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmpose-t,rtmpose,pose,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_pose,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_pose_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env pose --python 3.11 --execute,visionservex openmmlab contract-test rtmpose-t IMAGE --sidecar openmmlab_pose_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmpose-m,rtmpose,pose,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_pose,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_pose_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env pose --python 3.11 --execute,visionservex openmmlab contract-test rtmpose-m IMAGE --sidecar openmmlab_pose_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmpose-l,rtmpose,pose,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_pose,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_pose_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env pose --python 3.11 --execute,visionservex openmmlab contract-test rtmpose-l IMAGE --sidecar openmmlab_pose_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmpose-m-384x288,rtmpose,pose,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_pose,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_pose_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env pose --python 3.11 --execute,visionservex openmmlab contract-test rtmpose-m-384x288 IMAGE --sidecar openmmlab_pose_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rtmpose-l-384x288,rtmpose,pose,Apache-2.0,True,stub,OPENMMLAB_REQUIRED,stub,openmmlab_pose,sidecar_required,OpenMMLab needs Python 3.11 + mmcv/mmdet/mmrotate/mmpose. Sidecar 'openmmlab_pose_py311'. Cannot use main env (Python 3.13 + torch 2.11 has no compatible mmcv wheels).,visionservex openmmlab create-env pose --python 3.11 --execute,visionservex openmmlab contract-test rtmpose-l-384x288 IMAGE --sidecar openmmlab_pose_py311,,reports/v237_openmmlab_audit.json,sidecar_required
rfdetr-seg-large,rfdetr,segment,Apache-2.0,True,license_blocked,RFDETR_PLUS_LICENSE_BLOCKED,wired,rfdetr_seg,checkpoint_required,Roboflow rfdetr.roboflow.com: core Nano-Large are Apache-2.0. Large is NOT license_blocked. Actual blocker is checkpoint availability.,visionservex rfdetr-seg pull rfdetr-seg-large,visionservex benchmark-segmentation --models rfdetr-seg-large,,reports/v237_rfdetr_seg_license_audit.json,checkpoint_required
rfdetr-seg-xlarge,rfdetr,segment,PML-1.0,False,license_blocked,RFDETR_PLUS_LICENSE_BLOCKED,wired,rfdetr_seg,license_blocked,Official: XLarge requires [plus] extra and is PML-1.0 (non-commercial). Correctly opt-in.,pip install 'rfdetr[plus]' AFTER reviewing PML-1.0 at rfdetr.roboflow.com/develop/,opt-in only,,reports/v237_rfdetr_seg_license_audit.json,opt_in_license_required
rfdetr-seg-2xlarge,rfdetr,segment,PML-1.0,False,license_blocked,RFDETR_PLUS_LICENSE_BLOCKED,wired,rfdetr_seg,license_blocked,Official: 2XLarge is PML-1.0 (non-commercial). Correctly opt-in.,opt-in only via rfdetr[plus],opt-in only,,reports/v237_rfdetr_seg_license_audit.json,opt_in_license_required
